Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR22576095 - nextera_transposase_sequence	(1, 9.085232708306962e-06)	(2, 1.168101348210895e-05)	(3, 1.9468355803514917e-05)	(4, 4.0234601993930834e-05)	(5, 4.283038276773282e-05)	(6, 4.4128273154633815e-05)	(7, 4.8021944315336796e-05)	(8, 5.191561547603978e-05)	(9, 8.436287514856465e-05)	(10, 0.0002517907350587929)	(12, 0.00031149369285623867)	(14, 0.0004231122661297242)	(16, 0.0006087105914565664)	(18, 0.0012784220310974796)	(20, 0.003090925956404719)	(22, 0.005728239222587539)	(24, 0.011269582229461336)	(26, 0.029800212228440287)	(28, 0.154184835347484)	(30, 0.3307349178420459)	(32, 0.49547354887061534)	(34, 0.7097455175700678)	(36, 0.988531723731208)	(38, 1.2224706254633713)	(40, 1.4709991130346884)	(42, 1.797511344502952)	(44, 2.189600136714582)	(46, 2.6021553624372533)	(48, 2.90135998016512)	(50, 3.1846005461341043)	(52, 3.557884853475119)	(54, 3.985696780695812)	(56, 4.411541755035156)	(58, 4.7454889515847825)	(60, 5.044519652000804)	(62, 5.432634303847743)	(64, 5.88552666490491)	(66, 6.32923580252956)	(68, 6.691623022182154)	(70, 7.001308104784246)	(72, 7.382225305490625)	(74, 7.8463878977224475)	(76, 8.311889263888357)	(78, 8.701760610373967)	(80, 9.024063783317512)	(82, 9.391045534939735)	(84, 9.847679065037145)	(86, 10.32216962002273)	(88, 10.736404315906054)	(90, 11.074331493327112)	(92, 11.425996191548322)	(94, 11.864215901781574)	(96, 12.341933012268996)	(98, 12.775574414162456)	(100, 13.131354073855336)	(102, 13.475121758017448)	(104, 13.892289037229972)	(106, 14.364974875632573)	(108, 14.815146209493603)	(110, 15.191288471466574)	(112, 15.535394256074476)	(114, 15.933903712030103)	(116, 16.396683402054684)	(118, 16.856956865742156)	(120, 17.253191768794743)	(122, 17.604854520180375)	(124, 17.989011255292453)	(126, 18.44008397402719)	(128, 18.906909837332933)	(130, 19.32578578923981)	(132, 19.690082205651535)	(134, 20.067338057576467)	(136, 20.508735652422047)	(138, 20.981433820783323)
SRR22576095 - polya	(1, 0.00019208777726134718)	(2, 0.00030240846014793174)	(3, 0.0004308996084511302)	(4, 0.0005529013048198236)	(5, 0.0009046295996699932)	(6, 0.001179782361693004)	(7, 0.001440658329460104)	(8, 0.0017339815568997287)	(9, 0.0020324963458869575)	(10, 0.003294045801954724)	(12, 0.005124720192678577)	(14, 0.007924918702417473)	(16, 0.011110590657065964)	(18, 0.015788187611457147)	(20, 0.021495660587854272)	(22, 0.025725485358764615)	(24, 0.02814864671110877)	(26, 0.03131485030995375)	(28, 0.03422796528335303)	(30, 0.03640647429776635)	(32, 0.0392138112046332)	(34, 0.041644759899298764)	(36, 0.04406792125164292)	(38, 0.046319761072916146)	(40, 0.04861248444137675)	(42, 0.05084420696165301)	(44, 0.05315380290514333)	(46, 0.05547832458808301)	(48, 0.05758025806966917)	(50, 0.05983923628807035)	(52, 0.062086533492989426)	(54, 0.06414433870142094)	(56, 0.06641045531695008)	(58, 0.06839428077332826)	(60, 0.07037810622970642)	(62, 0.07262864816059275)	(64, 0.07458716475442635)	(66, 0.07650739358184638)	(68, 0.07827187556283827)	(70, 0.08003635754383018)	(72, 0.0818319888941077)	(74, 0.08358673669719785)	(76, 0.0852876220492316)	(78, 0.08692426182711377)	(80, 0.08857907207041252)	(82, 0.0902851489839939)	(84, 0.09193995922729264)	(86, 0.09357140744362721)	(88, 0.09529046326107757)	(90, 0.0969770718188554)	(92, 0.09876751160758535)	(94, 0.10055860034150871)	(96, 0.10232113548692026)	(98, 0.10400190353795705)	(100, 0.10595912224140375)	(102, 0.10758148522502999)	(104, 0.10919670981152828)	(106, 0.11101051162722242)	(108, 0.11280744086788684)	(110, 0.11455829499981629)	(112, 0.11656742931873904)	(114, 0.11849414759809355)	(116, 0.12030405574262698)	(118, 0.1220776229563272)	(120, 0.12379992349974481)	(122, 0.12564811941069182)	(124, 0.1274002714330082)	(126, 0.12916540235919352)	(128, 0.1309629805450514)	(130, 0.13279170810019492)	(132, 0.13470025591413282)	(134, 0.13648161047015445)	(136, 0.13831812536761934)	(138, 0.1401500976487301)
SRR22576095 - polyg	(1, 0.10507201416195691)	(2, 0.1051784411736828)	(3, 0.10528616607579558)	(4, 0.10540686988177737)	(5, 0.10565866061683617)	(6, 0.10584685472293681)	(7, 0.10595198384427579)	(8, 0.10606619819832308)	(9, 0.10621545559281668)	(10, 0.10645945898555408)	(12, 0.10678977208902038)	(14, 0.10710905312419802)	(16, 0.10734786495538781)	(18, 0.107594464128899)	(20, 0.10784301013799054)	(22, 0.10811556711923975)	(24, 0.10842770975728944)	(26, 0.108715192477988)	(28, 0.10899813258233243)	(30, 0.1093011899876738)	(32, 0.10960230055743483)	(34, 0.1099371562772553)	(36, 0.11027460777784956)	(38, 0.11060946349767001)	(40, 0.11095145761461842)	(42, 0.11128047282769782)	(44, 0.11161403065713138)	(46, 0.11195472688369289)	(48, 0.11232916826031383)	(50, 0.1126964712398068)	(52, 0.11307999784913605)	(54, 0.11346676918443255)	(56, 0.11387300887553256)	(58, 0.11423771607425173)	(60, 0.1146407110393845)	(62, 0.11508264271612428)	(64, 0.11549472291396534)	(66, 0.11592432463202959)	(68, 0.11634678795296585)	(70, 0.11677768756141699)	(72, 0.1171995019371598)	(74, 0.11766674247644415)	(76, 0.11810607837241015)	(78, 0.11857202102130762)	(80, 0.11904185734136577)	(82, 0.11951364049700428)	(84, 0.12000618989883322)	(86, 0.12060127264122732)	(88, 0.12125800517699922)	(90, 0.12181480015297974)	(92, 0.12243064914156426)	(94, 0.12323404329105599)	(96, 0.12484018264484596)	(98, 0.12749242165047814)	(100, 0.13133871981205925)	(102, 0.14007417106109638)	(104, 0.1908580261197585)	(106, 0.3413782679598275)	(108, 0.5038468887017071)	(110, 0.6743831960885633)	(112, 0.9053590140674316)	(114, 1.1638507571937944)	(116, 1.3805406956840434)	(118, 1.6490346310770585)	(120, 1.9850032919042828)	(122, 2.3790038766558177)	(124, 2.738602578812155)	(126, 3.011171241074846)	(128, 3.3187401134010956)	(130, 3.707739926491901)	(132, 4.131813929398319)	(134, 4.5139933285059595)	(136, 4.816591280650379)	(138, 5.143595412575278)
SRR22576096 - nextera_transposase_sequence	(1, 1.0279348897184799e-05)	(2, 1.107006804312209e-05)	(3, 1.818654035655772e-05)	(4, 3.321020412936627e-05)	(5, 3.558236156717815e-05)	(6, 4.6652429610300235e-05)	(7, 6.246681252904607e-05)	(8, 7.828119544779192e-05)	(9, 0.0001620974249171449)	(10, 0.0009247460411736632)	(12, 0.0012149399677326494)	(14, 0.001592903719490675)	(16, 0.0027097945131271)	(18, 0.006125305864003233)	(20, 0.015090084181067283)	(22, 0.028745408471831352)	(24, 0.05525545391809798)	(26, 0.1290524810892795)	(28, 0.5378293718857625)	(30, 1.083159110230313)	(32, 1.5497881766201522)	(34, 2.1042866988214186)	(36, 2.7838754084716735)	(38, 3.3608967748258176)	(40, 3.9840668826943)	(42, 4.771932323233905)	(44, 5.670581469715053)	(46, 6.583880269812982)	(48, 7.2407650606259395)	(50, 7.871568771129301)	(52, 8.683463771154367)	(54, 9.586643342982164)	(56, 10.470719535603688)	(58, 11.164604447412488)	(60, 11.786773900201787)	(62, 12.571030498559335)	(64, 13.473458491838915)	(66, 14.348864844384812)	(68, 15.069857585314207)	(70, 15.682287355023423)	(72, 16.41251174198164)	(74, 17.28440690616)	(76, 18.153775722667092)	(78, 18.89109167428564)	(80, 19.495927377317273)	(82, 20.165385788629354)	(84, 20.97976878644711)	(86, 21.822055867565425)	(88, 22.563655540157093)	(90, 23.166361441169144)	(92, 23.77804714416203)	(94, 24.52131404807291)	(96, 25.324577162541352)	(98, 26.055943347946297)	(100, 26.657860506610277)	(102, 27.226194241708008)	(104, 27.89426256876153)	(106, 28.644521406720358)	(108, 29.35705068527121)	(110, 29.95497906120351)	(112, 30.4904679044173)	(114, 31.09156825020353)	(116, 31.782777368422476)	(118, 32.46873057647838)	(120, 33.05643297705585)	(122, 33.5695021649653)	(124, 34.11556371387942)	(126, 34.74507776145575)	(128, 35.39397431209688)	(130, 35.97086639587066)	(132, 36.467453043183056)	(134, 36.96986570916271)	(136, 37.543017691376214)	(138, 38.15061656246333)
SRR22576096 - polyg	(1, 0.10611371866563866)	(2, 0.10626237386507488)	(3, 0.1063794002986736)	(4, 0.10648219378764545)	(5, 0.10687201832659253)	(6, 0.10707286098966061)	(7, 0.10717011944461088)	(8, 0.10728161084418805)	(9, 0.10736147347792771)	(10, 0.10758999131110358)	(12, 0.1078699058887654)	(14, 0.10808616757517925)	(16, 0.10828147520422575)	(18, 0.10849813225021257)	(20, 0.10869027700267533)	(22, 0.10889151502531638)	(24, 0.10908089226076836)	(26, 0.10927817668767971)	(28, 0.10947269359758029)	(30, 0.10968421096911851)	(32, 0.10989414690236488)	(34, 0.11012503689297856)	(36, 0.11035671760273819)	(38, 0.11060539877413546)	(40, 0.11084380059663555)	(42, 0.11108022562127079)	(44, 0.11131506920761418)	(46, 0.11156256430029254)	(48, 0.11181757122485733)	(50, 0.11207178743027617)	(52, 0.11231809644423563)	(54, 0.11259366206659478)	(56, 0.11286250657621347)	(58, 0.11313135108583214)	(60, 0.11337924153808347)	(62, 0.1136702261837884)	(64, 0.1139552804358988)	(66, 0.11424666044117669)	(68, 0.11452064462524396)	(70, 0.11481044319222998)	(72, 0.11511170718683209)	(74, 0.1153951800006506)	(76, 0.1157090955015877)	(78, 0.11601470845149248)	(80, 0.1163448336949213)	(82, 0.11667060998304746)	(84, 0.1169991537881844)	(86, 0.11764121773468547)	(88, 0.11860391829486414)	(90, 0.11927128525403521)	(92, 0.12018337978887388)	(94, 0.12240095163365501)	(96, 0.12820838840099147)	(98, 0.13905389220666736)	(100, 0.156837956517943)	(102, 0.19324978246920937)	(104, 0.3735851444873979)	(106, 0.8587411558261207)	(108, 1.3445143234582475)	(110, 1.8106021425926926)	(112, 2.395364649385563)	(114, 3.026434436881532)	(116, 3.5684747835789836)	(118, 4.237726817193973)	(120, 5.037640445360224)	(122, 5.931606162339985)	(124, 6.724127357210869)	(126, 7.3261666819828966)	(128, 8.013042263922536)	(130, 8.85431880597234)	(132, 9.747216656745513)	(134, 10.540603689081198)	(136, 11.171135392198357)	(138, 11.850108526993498)
SRR22576097 - nextera_transposase_sequence	(1, 0.0)	(2, 4.4033441196917e-06)	(3, 6.60501617953755e-06)	(4, 1.32100323590751e-05)	(5, 1.32100323590751e-05)	(6, 1.32100323590751e-05)	(7, 1.76133764787668e-05)	(8, 1.76133764787668e-05)	(9, 2.8621736777996048e-05)	(10, 5.812414237993044e-05)	(15, 0.00010215758357684744)	(20, 0.00030339040984675816)	(25, 0.00589916011715097)	(30, 0.04347333582489221)	(35, 0.1107203265519999)	(40, 0.18680659026497673)	(45, 0.3014912475279351)	(50, 0.40254667407162364)	(55, 0.5408940219649813)	(60, 0.6638393527964813)	(65, 0.8317472304341532)	(70, 0.9808691210539845)	(75, 1.183860202630888)	(80, 1.3613162916576997)	(85, 1.6033672372483285)	(90, 1.8155159535909544)	(95, 2.0989812312961083)	(100, 2.3509665615551727)	(105, 2.6802349844589473)	(110, 2.984741642040047)	(115, 3.3659039157287998)	(120, 3.732292089227164)	(125, 4.16942791202779)	(130, 4.609513535054197)	(135, 5.112072043113143)	(140, 5.636796545136204)	(145, 6.207401250879981)	(150, 6.829497341756197)	(155, 7.481912218234139)	(160, 8.21479732783062)	(165, 8.960663055557543)	(170, 9.81664453068883)	(175, 10.662054457257565)	(180, 11.646553695203822)	(185, 12.606574743188714)	(190, 13.723907461521653)	(195, 14.80350087874236)	(200, 16.05890221328588)	(205, 17.265266146374863)	(210, 18.645115673097933)	(215, 19.97710217024319)	(220, 21.474849034098945)	(225, 22.933605166443655)	(230, 24.53781476342208)	(235, 26.099951288005677)																			
SRR22576097 - polya	(1, 8.146186621429644e-05)	(2, 0.0001409070118301344)	(3, 0.00021356218980504745)	(4, 0.0002950240560193439)	(5, 0.0005239979502433123)	(6, 0.0006913250267915968)	(7, 0.0008212236783225021)	(8, 0.0010369875401873953)	(9, 0.00123073468145383)	(10, 0.0034473781113066315)	(15, 0.009809770029849169)	(20, 0.017010999003192976)	(25, 0.022829577922953585)	(30, 0.02827167092048056)	(35, 0.03369350853505695)	(40, 0.03900526254664105)	(45, 0.04433462993470391)	(50, 0.0494693695126764)	(55, 0.05463008882095508)	(60, 0.05980093582070904)	(65, 0.06502858595960702)	(70, 0.07024390673496987)	(75, 0.07553496502919142)	(80, 0.08082822499547282)	(85, 0.08605807680643064)	(90, 0.09130334032180738)	(95, 0.09646670163655788)	(100, 0.10169787445075162)	(105, 0.1069814470599697)	(110, 0.11233679417833872)	(115, 0.11764502551462708)	(120, 0.12291142508177835)	(125, 0.12815933060362691)	(130, 0.13353845578024232)	(135, 0.1388933625641994)	(140, 0.1441280580536889)	(145, 0.1491496316877853)	(150, 0.15440590356346126)	(155, 0.15965997376707738)	(160, 0.16511791880343524)	(165, 0.17060580657980706)	(170, 0.17604305589880234)	(175, 0.18157453678195906)	(180, 0.18704172884096826)	(185, 0.19238914993992187)	(190, 0.19779689685331528)	(195, 0.20338870355091174)	(200, 0.2090399553941241)	(205, 0.21438209248013407)	(210, 0.21986909958768183)	(215, 0.22553135979119343)	(220, 0.23123369042619416)	(225, 0.236834744146442)	(230, 0.24203905656150565)	(235, 0.2472856410801183)																			
SRR22576097 - polyg	(1, 0.03744824006591806)	(2, 0.03768602064838141)	(3, 0.03779170090725401)	(4, 0.03787976778964785)	(5, 0.03805369988237567)	(6, 0.038161581813308115)	(7, 0.038225430303043643)	(8, 0.03825625371188149)	(9, 0.0383046904971981)	(10, 0.03857197348526338)	(15, 0.03894801907308506)	(20, 0.03926946319382255)	(25, 0.0396173273792782)	(30, 0.04003256272976512)	(35, 0.04056228502736403)	(40, 0.0411082996982058)	(45, 0.04165035135933985)	(50, 0.04232890668818434)	(55, 0.043031680409687134)	(60, 0.04386391244830887)	(65, 0.044734893915183885)	(70, 0.04569041958915698)	(75, 0.046682933353735495)	(80, 0.04770274785185609)	(85, 0.04885994668651107)	(90, 0.05008892003031702)	(95, 0.051539821917755434)	(100, 0.05371067056876344)	(105, 0.07640242382077068)	(110, 0.12904352210286102)	(115, 0.19758421533233414)	(120, 0.29641287075469464)	(125, 0.3972164260147369)	(130, 0.5215060978059787)	(135, 0.6440991611079033)	(140, 0.7944671981136073)	(145, 0.9451003164353168)	(150, 1.1255850255476523)	(155, 1.3118702598688574)	(160, 1.5226653882290904)	(165, 1.75122360676816)	(170, 1.9961856031563172)	(175, 2.271741153819268)	(180, 2.5541927817080685)	(185, 2.8876474638664336)	(190, 3.2177278634258784)	(195, 3.615610955740337)	(200, 3.9999845882955802)	(205, 4.473259096620929)	(210, 4.923816312298375)	(215, 5.478557530516551)	(220, 6.005663801373953)	(225, 6.648866001284675)	(230, 7.268823387921958)	(235, 8.012279165412172)																			
SRR22576098 - nextera_transposase_sequence	(1, 0.0)	(2, 4.304778303917348e-06)	(3, 1.076194575979337e-05)	(4, 1.937150236762807e-05)	(5, 2.582866982350409e-05)	(6, 2.582866982350409e-05)	(7, 2.7981058975462763e-05)	(8, 3.0133448127421436e-05)	(9, 5.81145071028842e-05)	(10, 8.136030994403789e-05)	(15, 0.00013043478260869567)	(20, 0.00045114076625053806)	(25, 0.0055725355144210075)	(30, 0.03876237623762376)	(35, 0.09532371932845458)	(40, 0.15655574687903573)	(45, 0.24788075764098147)	(50, 0.3233349117520447)	(55, 0.4279797675419716)	(60, 0.5171127851915627)	(65, 0.6408631080499354)	(70, 0.744578131726216)	(75, 0.8897761515281962)	(80, 1.0104903142488162)	(85, 1.1779784761084806)	(90, 1.3204575979337065)	(95, 1.513046061127852)	(100, 1.6826263452432202)	(105, 1.901716315109772)	(110, 2.104024537236332)	(115, 2.3514261730520882)	(120, 2.592884201463625)	(125, 2.87469220835127)	(130, 3.165311235471373)	(135, 3.4856861816616442)	(140, 3.8312737839001287)	(145, 4.195912613000431)	(150, 4.606811450710288)	(155, 5.026611278519156)	(160, 5.513848041325871)	(165, 5.993914765389581)	(170, 6.562093844167026)	(175, 7.116689625484288)	(180, 7.779340077486009)	(185, 8.417369780456307)	(190, 9.176433060697374)	(195, 9.910763667671116)	(200, 10.777993112354713)	(205, 11.619)	(210, 12.591114507102883)	(215, 13.541784330606973)	(220, 14.621680585449848)	(225, 15.696163151097718)	(230, 16.883003874300478)	(235, 18.07066767111494)																			
SRR22576098 - polya	(1, 0.00010977184674989239)	(2, 0.00018080068876452862)	(3, 0.000284115368058545)	(4, 0.0004024967714162721)	(5, 0.0007016788635385278)	(6, 0.0009922513990529489)	(7, 0.0012182522600086097)	(8, 0.001538958243650452)	(9, 0.0018101592767972448)	(10, 0.005186396900559621)	(15, 0.014794231597072749)	(20, 0.02409126130004305)	(25, 0.03320189410245372)	(30, 0.0418906586310805)	(35, 0.050677572105036595)	(40, 0.05960223848471804)	(45, 0.06840464916056824)	(50, 0.07716530348687042)	(55, 0.08616272061988807)	(60, 0.09563108049935429)	(65, 0.10554412397761515)	(70, 0.11586655187257858)	(75, 0.12671071889797675)	(80, 0.13734266035299184)	(85, 0.1483017649591046)	(90, 0.1592350408953939)	(95, 0.1698441670253982)	(100, 0.18053981919931122)	(105, 0.1915888936719759)	(110, 0.2023740852346104)	(115, 0.2130740421868274)	(120, 0.22393370641411967)	(125, 0.23463237193284545)	(130, 0.2452552733534223)	(135, 0.2554825656478691)	(140, 0.2655492897115798)	(145, 0.27571631510977185)	(150, 0.2859638398622471)	(155, 0.29624063710718895)	(160, 0.3068140335772708)	(165, 0.3173491175204477)	(170, 0.32778002582866983)	(175, 0.3381790787774429)	(180, 0.34814119672836846)	(185, 0.35800387430047353)	(190, 0.3680077486009471)	(195, 0.3780873869995695)	(200, 0.38841756349547996)	(205, 0.3984649160568231)	(210, 0.4084037882049074)	(215, 0.41833921653034867)	(220, 0.4279931123547137)	(225, 0.4379246663796814)	(230, 0.44748213517003876)	(235, 0.45676280671545416)																			
