Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR22576095	(1, 0.06335002978463754)	(2, 0.0735981722796078)	(3, 0.04877731652051318)	(4, 0.033523210803265785)	(5, 0.0015302127661562725)	(6, 0.0036172205082930717)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0051373097294315166)	(20, 0.0005679568333078752)	(25, 2.4659917351118895e-05)	(30, 2.36216050415981e-05)	(35, 0.005385206793329607)	(40, 0.0003057829751538743)	(45, 0.00806509086420278)	(50, 0.013591248553549836)	(55, 0.0012010677640381803)	(60, 0.00010746532403540234)	(65, 0.008072878206524187)	(70, 0.0013915980728352463)	(75, 0.013173587427045094)	(80, 0.013345947270425545)	(85, 7.891173552358047e-05)	(90, 0.0007200695866526718)	(95, 0.0006432344757481329)	(100, 0.004451504448993031)	(105, 0.019316243050170122)	(110, 0.0003792435710524706)	(115, 0.00030033183552889014)	(120, 0.0008449266418725475)	(125, 0.012251566096190629)	(130, 0.0010873725661456532)	(135, 0.0007509593778609155)	(140, 0.0019335970984051016)	(145, 0.0013796574812757572)	(150, 0.00012719325791629745)																				
SRR22576096	(1, 0.06305985188849905)	(2, 0.07345148290440694)	(3, 0.048383313820756974)	(4, 0.03339602312866154)	(5, 0.0014375274073139973)	(6, 0.003623075126684672)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.005212736897677005)	(20, 0.0005603035868111653)	(25, 2.229827991543164e-05)	(30, 2.119127311111943e-05)	(35, 0.005335298365297285)	(40, 0.000283551885733113)	(45, 0.008062488699635006)	(50, 0.013548181846489564)	(55, 0.0011990465128993099)	(60, 0.0001061145093847846)	(65, 0.00806533528856038)	(70, 0.0013915075530204469)	(75, 0.013126412254046614)	(80, 0.01329151441171832)	(85, 7.638346949754242e-05)	(90, 0.0007002608756420659)	(95, 0.000633366035895771)	(100, 0.004417589724522464)	(105, 0.01929338901704074)	(110, 0.0003785963270747755)	(115, 0.00030600830947773204)	(120, 0.0008315202538676565)	(125, 0.012198107976716232)	(130, 0.001104950934532772)	(135, 0.0007445411478145543)	(140, 0.001929354716086993)	(145, 0.0013582973488910806)	(150, 0.00012809650164184134)																				
SRR22576097	(1, 0.03249007458714521)	(2, 0.02521134675729483)	(3, 0.0)	(4, 0.00015411704418920948)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 2.421839265830435e-05)	(10, 0.0005852044335070269)	(15, 0.00042712437961009485)	(20, 0.0010744159652047748)	(25, 0.059305559607243714)	(30, 0.0005288416287749731)	(35, 6.60501617953755e-05)	(40, 0.00035579020487108937)	(45, 8.8066882393834e-06)	(50, 0.0007661818768263558)	(55, 0.0)	(60, 1.585203883089012e-05)	(65, 0.0)	(70, 0.0)	(75, 0.000158080053896932)	(80, 0.0)	(85, 3.08234088378419e-06)	(90, 0.00034302050692398345)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 1.8053710890735968e-05)	(125, 1.893437971467431e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1.585203883089012e-05)	(155, 0.0)	(160, 3.390574972162609e-05)	(165, 2.597973030618103e-05)	(170, 5.724347355599209e-06)	(175, 8.8066882393834e-07)	(180, 0.00028269469248420713)	(185, 5.812414237993044e-05)	(190, 2.994274001390356e-05)	(195, 3.7428425017379446e-05)	(200, 0.0)	(205, 0.000619110183228653)	(210, 0.0001175692879957684)	(215, 0.0009929540989904782)	(220, 0.0003003080689629739)	(225, 0.000502861898468792)	(230, 3.214441207374941e-05)	(235, 0.0007032140559147645)	(240, 0.00036195488663865773)	(245, 0.00014178768065407273)	(250, 0.0)
SRR22576098	(1, 0.0317240637107189)	(2, 0.017003874300473527)	(3, 0.0)	(4, 0.00016142918639690056)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 6.457167455876023e-06)	(10, 0.0005527335342229876)	(15, 0.00039991390443392164)	(20, 0.0010025828669823504)	(25, 0.057752905725355144)	(30, 0.00040809298321136463)	(35, 3.314679294016358e-05)	(40, 0.0003495479982780887)	(45, 3.4438226431338783e-06)	(50, 0.0007546276366767111)	(55, 0.0)	(60, 1.0331467929401635e-05)	(65, 0.0)	(70, 0.0)	(75, 0.00017348256564786912)	(80, 0.0)	(85, 2.152389151958674e-06)	(90, 0.0003607404218682738)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 9.04003443822643e-06)	(125, 1.162290142057684e-05)	(130, 8.609556607834696e-07)	(135, 0.0)	(140, 8.609556607834696e-07)	(145, 0.0)	(150, 1.0331467929401635e-05)	(155, 0.0)	(160, 3.486870426173052e-05)	(165, 1.506672406371072e-05)	(170, 3.874300473525613e-06)	(175, 1.7219113215669391e-06)	(180, 0.0002763667671114938)	(185, 6.112785191562635e-05)	(190, 1.7219113215669393e-05)	(195, 4.175634954799828e-05)	(200, 0.0)	(205, 0.0006422729229444683)	(210, 0.00012699095996556177)	(215, 0.0010202324580284115)	(220, 0.0003047783039173482)	(225, 0.0005075333620318553)	(230, 1.5927679724494188e-05)	(235, 0.0007102884201463625)	(240, 0.00036160137752905725)	(245, 0.00012871287128712872)	(250, 0.0)
SRR22576099	(1, 0.06287350535935331)	(2, 0.07347771517374932)	(3, 0.04848910661610849)	(4, 0.033273963325192085)	(5, 0.001457317389428704)	(6, 0.0036409505195694625)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.005200554586584159)	(20, 0.0005513305475119342)	(25, 2.517002013896154e-05)	(30, 2.1689059906977496e-05)	(35, 0.005294808279019419)	(40, 0.0002968188013195624)	(45, 0.007941944652357438)	(50, 0.013445878311467593)	(55, 0.0012147212378765854)	(60, 0.00011005189656503396)	(65, 0.007983716175141247)	(70, 0.0013814056797542829)	(75, 0.01302294164328153)	(80, 0.013220151428732011)	(85, 8.381081173930811e-05)	(90, 0.000705965511663533)	(95, 0.0006304554512466483)	(100, 0.004391365215733715)	(105, 0.019125198813035406)	(110, 0.00039241132461327805)	(115, 0.0003124831223634906)	(120, 0.0008330205601309505)	(125, 0.012087232756307052)	(130, 0.0010930215128429894)	(135, 0.0007340809596910964)	(140, 0.0019354138889831278)	(145, 0.0013558340103577847)	(150, 0.00014057724013781712)																				
SRR22576100	(1, 0.030817317785335835)	(2, 0.01734593011444318)	(3, 0.0)	(4, 0.00022697402103307512)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 3.1968171976489455e-06)	(10, 0.0005715909149396315)	(15, 0.00043924268295696513)	(20, 0.0010619826730589798)	(25, 0.05833871703989561)	(30, 0.0004641778570986269)	(35, 5.690334611815123e-05)	(40, 0.0003631584336529202)	(45, 5.754270955768102e-06)	(50, 0.000739743499535966)	(55, 0.0)	(60, 1.534472254871494e-05)	(65, 0.0)	(70, 0.0)	(75, 0.00017774303618928137)	(80, 0.0)	(85, 1.9180903185893674e-06)	(90, 0.00036443716053197975)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 1.4065995669655361e-05)	(125, 1.6623449427774517e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1.342663223012557e-05)	(155, 0.0)	(160, 2.877135477884051e-05)	(165, 2.429581070213199e-05)	(170, 5.754270955768102e-06)	(175, 0.0)	(180, 0.00029730399938135193)	(185, 6.073952675532997e-05)	(190, 2.429581070213199e-05)	(195, 4.667353108567461e-05)	(200, 0.0)	(205, 0.0006284942610577828)	(210, 0.00011508541911536204)	(215, 0.0009954888753478815)	(220, 0.000306255087534769)	(225, 0.0005044577537890036)	(230, 3.005008165790009e-05)	(235, 0.0007077753275594765)	(240, 0.0003676339777296287)	(245, 0.00013682377605937489)	(250, 0.0)
SRR22576101	(1, 0.0625474765400248)	(2, 0.07220450275132466)	(3, 0.047594787339163704)	(4, 0.032644693415435445)	(5, 0.0014274024230623281)	(6, 0.003550339117725936)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.005080514515248752)	(20, 0.0005354056725050151)	(25, 2.205985562914507e-05)	(30, 2.257891105571319e-05)	(35, 0.0052447955577575615)	(40, 0.0002849614291858975)	(45, 0.007884451929569733)	(50, 0.013327786187989599)	(55, 0.0011984989799457876)	(60, 0.0001030325021737717)	(65, 0.007959195910995542)	(70, 0.001313988812357194)	(75, 0.012918510984140638)	(80, 0.013108744797977854)	(85, 7.604161999222948e-05)	(90, 0.0007040986861396539)	(95, 0.0005995090176861778)	(100, 0.00432087689846631)	(105, 0.018942927792603516)	(110, 0.0003820247939541358)	(115, 0.00029845687027666866)	(120, 0.0008037573280407328)	(125, 0.012047795506072618)	(130, 0.0010840472583875172)	(135, 0.0007515922576706368)	(140, 0.001892476085267363)	(145, 0.0012727239059450285)	(150, 0.00011159691671214565)																				
SRR22576102	(1, 0.06300715699904116)	(2, 0.0724927456529274)	(3, 0.04780727859806837)	(4, 0.03273311016065557)	(5, 0.001463308084597424)	(6, 0.003611404654903213)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.00515984264464828)	(20, 0.0005535649272553933)	(25, 2.6465255486313625e-05)	(30, 2.22749233676473e-05)	(35, 0.005335174962245108)	(40, 0.00030126282495253673)	(45, 0.00800000564592117)	(50, 0.013589026517039169)	(55, 0.0011955679165942179)	(60, 0.00011049244165535939)	(65, 0.008051392350323764)	(70, 0.0013559032560821348)	(75, 0.013160951009548045)	(80, 0.013344884535177926)	(85, 8.336555478188792e-05)	(90, 0.0007127975477647136)	(95, 0.0006311963433485799)	(100, 0.004436238450893322)	(105, 0.01930044919478137)	(110, 0.00037492445272277637)	(115, 0.000308540770211273)	(120, 0.0008312295660659671)	(125, 0.012177325680640057)	(130, 0.0010733866537657368)	(135, 0.0007454380295311671)	(140, 0.001898440993551564)	(145, 0.0013248065808857163)	(150, 0.00014114802926033933)																				
SRR22576103	(1, 0.06324789809231783)	(2, 0.07319720897720138)	(3, 0.048631022402661185)	(4, 0.03341167426613986)	(5, 0.0015019233613534468)	(6, 0.0036999897973526447)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.005159122712833371)	(20, 0.0005581917864590698)	(25, 2.3204769154858355e-05)	(30, 2.0224340089096734e-05)	(35, 0.00533816134456948)	(40, 0.00029655269204328157)	(45, 0.008051629121155028)	(50, 0.013528806192863245)	(55, 0.0012043062303581076)	(60, 0.00010261191497836447)	(65, 0.008071427685663301)	(70, 0.001390157271387386)	(75, 0.01312815137130872)	(80, 0.013307828666416064)	(85, 8.281335047009084e-05)	(90, 0.0007050843618430356)	(95, 0.0006354700543784606)	(100, 0.004411460792908026)	(105, 0.01928124717757359)	(110, 0.0003793660425133724)	(115, 0.00031060328621044354)	(120, 0.0008394165575927202)	(125, 0.012168666099923888)	(130, 0.001085301955518054)	(135, 0.0007555387681705717)	(140, 0.0018981075393093311)	(145, 0.0013656751754900585)	(150, 0.0001351837469113308)																				
SRR22576104	(1, 0.06281439917740068)	(2, 0.07317114080635259)	(3, 0.04836143402615807)	(4, 0.03314370990824566)	(5, 0.001451172428023005)	(6, 0.0034534342627614944)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.005186828567890814)	(20, 0.000531859146319597)	(25, 2.457199939474536e-05)	(30, 2.029860819565921e-05)	(35, 0.005218166770017445)	(40, 0.0002861391523721434)	(45, 0.007880311429081488)	(50, 0.013427529321428567)	(55, 0.0012042060283091512)	(60, 0.00010914953354332539)	(65, 0.007941741427568351)	(70, 0.0013500355029779662)	(75, 0.01298915060758898)	(80, 0.0131835899071474)	(85, 7.816744734995081e-05)	(90, 0.0007015483885166429)	(95, 0.0006069996082368618)	(100, 0.00432627441517484)	(105, 0.019041340893294737)	(110, 0.00037249726618700935)	(115, 0.00030252048530197365)	(120, 0.0008098076322268253)	(125, 0.012035472138326253)	(130, 0.0010852633066012534)	(135, 0.0007172174895799587)	(140, 0.0018980979242607648)	(145, 0.00130409654758779)	(150, 0.00013888521397029986)																				
