Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR22576095	(1, 36.533735007046054)	(2, 36.441493106599154)	(3, 36.43554477112475)	(4, 36.466567660992176)	(5, 36.453333773577754)	(6, 36.5269867687473)	(7, 36.41669504179525)	(8, 36.43329114021475)	(9, 36.513228468722055)	(10, 36.44487463540475)	(15, 36.4045182938883)	(20, 36.35042546469246)	(25, 36.3157027721472)	(30, 36.29576885267878)	(35, 36.27888990500727)	(40, 36.25887439495757)	(45, 36.22135137151776)	(50, 36.19651037509564)	(55, 36.17824939999501)	(60, 36.133188480978816)	(65, 36.080249115523394)	(70, 36.03936300630039)	(75, 36.00820472569937)	(80, 35.94076875008055)	(85, 35.92543539517627)	(90, 35.86786648586015)	(95, 35.7884056907873)	(100, 35.72511460339669)	(105, 35.62802106668185)	(110, 35.51207901546293)	(115, 35.40535098661539)	(120, 35.300439355364325)	(125, 35.25025949436345)	(130, 35.18615624946746)	(135, 35.06919018090373)	(140, 34.9592546807346)	(145, 34.85840970866657)	(150, 34.81162400754054)																				
SRR22576096	(1, 36.46265677805954)	(2, 36.52078349134037)	(3, 36.50458224907947)	(4, 36.51970302897779)	(5, 36.53054408103467)	(6, 36.58230052366008)	(7, 36.46254595086405)	(8, 36.46974334537488)	(9, 36.53525423684319)	(10, 36.47968221060783)	(15, 36.43560580480842)	(20, 36.37866246756846)	(25, 36.342430353101804)	(30, 36.328713971060026)	(35, 36.315192681571695)	(40, 36.30112897930793)	(45, 36.26903636971225)	(50, 36.249526257228815)	(55, 36.23649741022875)	(60, 36.19610405876612)	(65, 36.15173636942917)	(70, 36.109991046370816)	(75, 36.08555693599304)	(80, 36.02999316170268)	(85, 36.00688957861738)	(90, 35.947002495209155)	(95, 35.843759594684954)	(100, 35.73411915002056)	(105, 35.53785761795509)	(110, 35.414037592717555)	(115, 35.2948780344974)	(120, 35.17849505176656)	(125, 35.16845419799674)	(130, 35.10326323782063)	(135, 35.0432030596656)	(140, 34.93923446083083)	(145, 34.90030313325467)	(150, 34.84664571482331)																				
SRR22576097	(1, 35.92014337288454)	(2, 35.75547428694722)	(3, 35.7912789127703)	(4, 35.84235744035808)	(5, 35.78524338108576)	(6, 36.00642269571626)	(7, 35.8233418189444)	(8, 35.8684217589048)	(9, 35.97391221162912)	(10, 35.89061283872037)	(15, 35.83054665865992)	(20, 35.79898270421471)	(25, 35.715483142072245)	(30, 35.71835882520981)	(35, 35.69504137877511)	(40, 35.672881452619194)	(45, 35.64272187432746)	(50, 35.61360229546329)	(55, 35.57748908768764)	(60, 35.5513222769032)	(65, 35.51790984262999)	(70, 35.46819183388825)	(75, 35.42600609312742)	(80, 35.40970621218284)	(85, 35.353221861943055)	(90, 35.31184724799249)	(95, 35.27179114058172)	(100, 35.219786589725565)	(105, 35.140954506299806)	(110, 35.117676597491965)	(115, 35.04168604486678)	(120, 34.988373872537494)	(125, 34.92776387507492)	(130, 34.86837060525615)	(135, 34.83848289823707)	(140, 34.78097428171825)	(145, 34.72288022298535)	(150, 34.63337855494355)	(155, 34.581976179009146)	(160, 34.453032080013166)	(165, 34.47573191780498)	(170, 34.32395627259122)	(175, 34.23209296340106)	(180, 34.1967464923236)	(185, 34.16513617066481)	(190, 33.980736791756506)	(195, 33.88934277336923)	(200, 33.84931826435586)	(205, 33.705232187785015)	(210, 33.587339108686095)	(215, 33.35996170851954)	(220, 33.31927355390051)	(225, 33.15073394609536)	(230, 33.13478318869265)	(235, 33.01480173998143)	(240, 32.81888975182202)	(245, 32.60419893207897)	(250, 32.542524690376105)
SRR22576098	(1, 35.701612935858805)	(2, 35.866820146362464)	(3, 35.8862393456737)	(4, 35.90291659492036)	(5, 35.86981635815756)	(6, 36.071116874730954)	(7, 35.89961799397331)	(8, 35.939418166164444)	(9, 36.021386891950065)	(10, 35.931781050365906)	(15, 35.87489337494618)	(20, 35.82995791218252)	(25, 35.74351684029273)	(30, 35.7342596814464)	(35, 35.704986659492036)	(40, 35.67272075764099)	(45, 35.640291424881624)	(50, 35.60452093413689)	(55, 35.557760180800685)	(60, 35.52691735686612)	(65, 35.48677358588033)	(70, 35.428089014205774)	(75, 35.37544404218683)	(80, 35.35285476538958)	(85, 35.286799961256996)	(90, 35.239570908308224)	(95, 35.19002141196728)	(100, 35.13307976754197)	(105, 35.038486560482134)	(110, 35.0143307533362)	(115, 34.92273880327163)	(120, 34.86411046491605)	(125, 34.78789455445544)	(130, 34.72228420146362)	(135, 34.68157703831253)	(140, 34.6177248213517)	(145, 34.547461110632796)	(150, 34.44436251399053)	(155, 34.38063529918209)	(160, 34.23503462333189)	(165, 34.25451185105467)	(170, 34.08467651743435)	(175, 33.97511411967283)	(180, 33.93543188979768)	(185, 33.89320235901851)	(190, 33.68855485148515)	(195, 33.57914226861817)	(200, 33.53146402927249)	(205, 33.36824923805424)	(210, 33.23156665088248)	(215, 32.97859633232889)	(220, 32.92648200602669)	(225, 32.73777433921653)	(230, 32.70729903142488)	(235, 32.57172301334481)	(240, 32.34706167886353)	(245, 32.110722070598364)	(250, 32.02927279380112)
SRR22576099	(1, 36.1717179170673)	(2, 36.22956432007194)	(3, 36.229455881466556)	(4, 36.23901317240872)	(5, 36.24384508661258)	(6, 36.3307441928814)	(7, 36.25858394751976)	(8, 36.26364146141743)	(9, 36.36304135190642)	(10, 36.25709414741604)	(15, 36.194293383414895)	(20, 36.141174915654325)	(25, 36.10290351980507)	(30, 36.067407913941665)	(35, 36.037461033662574)	(40, 36.00125475361938)	(45, 35.95762604349481)	(50, 35.920128280346475)	(55, 35.894893156879355)	(60, 35.83791559887096)	(65, 35.78321544704486)	(70, 35.73533215871454)	(75, 35.70111967897407)	(80, 35.62569811929342)	(85, 35.60560948708399)	(90, 35.55180030175641)	(95, 35.474653657175814)	(100, 35.44260970855339)	(105, 35.3889616849904)	(110, 35.30639181549133)	(115, 35.20685827621189)	(120, 35.139393981425115)	(125, 35.06887516813373)	(130, 35.03305506180217)	(135, 34.88779734529655)	(140, 34.795728128116046)	(145, 34.66339400932635)	(150, 34.633735841227725)																				
SRR22576100	(1, 35.97800017537739)	(2, 36.133153861884644)	(3, 36.130452487416285)	(4, 36.15864531418687)	(5, 36.10000772670717)	(6, 36.276003894106964)	(7, 36.133640161716755)	(8, 36.16713155315158)	(9, 36.265431284366386)	(10, 36.17601362841533)	(15, 36.117344942297926)	(20, 36.07780990401461)	(25, 35.99657415003104)	(30, 35.99218065546454)	(35, 35.966124696394274)	(40, 35.93964422557471)	(45, 35.90764112517353)	(50, 35.874497394002574)	(55, 35.835870462793324)	(60, 35.80813184620381)	(65, 35.77149211410732)	(70, 35.718287600572275)	(75, 35.67194586074991)	(80, 35.65471268877165)	(85, 35.59404003303847)	(90, 35.55130608683905)	(95, 35.510315192429374)	(100, 35.45868926722652)	(105, 35.37485834982918)	(110, 35.351825742261795)	(115, 35.26949097367476)	(120, 35.216278340224015)	(125, 35.14647165527646)	(130, 35.08496420188118)	(135, 35.04889180253912)	(140, 34.98816515256347)	(145, 34.9227221230907)	(150, 34.827085762581405)	(155, 34.76732867529362)	(160, 34.62805963457886)	(165, 34.64448750912412)	(170, 34.48228854261036)	(175, 34.37913825508703)	(180, 34.33321543258387)	(185, 34.29414697616418)	(190, 34.0923989181587)	(195, 33.98681592947156)	(200, 33.93230038202285)	(205, 33.774055187870076)	(210, 33.640438567515176)	(215, 33.39655625424837)	(220, 33.3391896381692)	(225, 33.15487681016977)	(230, 33.12090142061122)	(235, 32.984809779626445)	(240, 32.774527415312875)	(245, 32.54729321811535)	(250, 32.47888593350243)
SRR22576101	(1, 35.92946864646345)	(2, 36.14017834043732)	(3, 36.14258523937947)	(4, 36.1395069941486)	(5, 36.131159012746714)	(6, 36.24972219829161)	(7, 36.17657169107259)	(8, 36.18490421759914)	(9, 36.29725212965522)	(10, 36.179596066136014)	(15, 36.114915411937766)	(20, 36.061266276458966)	(25, 36.026032238714215)	(30, 35.9880138578975)	(35, 35.9595580507761)	(40, 35.92582342660902)	(45, 35.8811292248046)	(50, 35.844733577349075)	(55, 35.82229557946057)	(60, 35.76618899163635)	(65, 35.712533970069)	(70, 35.667174045941415)	(75, 35.63553908661895)	(80, 35.5608049490793)	(85, 35.54595381566793)	(90, 35.49594682723543)	(95, 35.423543430230474)	(100, 35.394095752308615)	(105, 35.34260521782285)	(110, 35.2645872320073)	(115, 35.16989789699633)	(120, 35.10608482577665)	(125, 35.044316890033734)	(130, 35.018426807624465)	(135, 34.88280075716172)	(140, 34.80231438250293)	(145, 34.68274274493198)	(150, 34.6601385195431)																				
SRR22576102	(1, 36.411048930993346)	(2, 36.256164419634146)	(3, 36.26581839347607)	(4, 36.30550258093582)	(5, 36.285410677248535)	(6, 36.41290794978341)	(7, 36.32033170316181)	(8, 36.33324083726541)	(9, 36.435009911679266)	(10, 36.34027714150892)	(15, 36.28812197430453)	(20, 36.23532966048518)	(25, 36.20025978294785)	(30, 36.177857638891645)	(35, 36.159050471182994)	(40, 36.13332327212537)	(45, 36.09558657459934)	(50, 36.06564095717066)	(55, 36.04696145564905)	(60, 35.99949348368068)	(65, 35.95335697871584)	(70, 35.91483302585118)	(75, 35.886481443842015)	(80, 35.82329476419325)	(85, 35.808037087879725)	(90, 35.761642533441275)	(95, 35.690056050764596)	(100, 35.654239528823176)	(105, 35.58816016146276)	(110, 35.50543274794835)	(115, 35.41576299508002)	(120, 35.34537962732862)	(125, 35.29317092091238)	(130, 35.25360428770661)	(135, 35.13542337395485)	(140, 35.046650826329085)	(145, 34.942669554290696)	(150, 34.90985455401325)																				
SRR22576103	(1, 36.24798038409322)	(2, 36.319796025821375)	(3, 36.31069721230357)	(4, 36.32430668168022)	(5, 36.323966976633066)	(6, 36.407175244598754)	(7, 36.32181186030878)	(8, 36.32823726088776)	(9, 36.41581972363865)	(10, 36.32849096352535)	(15, 36.27540683096247)	(20, 36.22417914379831)	(25, 36.190960275617314)	(30, 36.165541188172526)	(35, 36.1439510025977)	(40, 36.11844805865229)	(45, 36.076967643344396)	(50, 36.04833299652711)	(55, 36.027174726216984)	(60, 35.97924553737961)	(65, 35.928470253801095)	(70, 35.88873731514754)	(75, 35.85899478962455)	(80, 35.7921164819803)	(85, 35.777712881536836)	(90, 35.72867423223748)	(95, 35.66260500676957)	(100, 35.63081040048398)	(105, 35.58152001350134)	(110, 35.50481726643455)	(115, 35.41833758585565)	(120, 35.35490666387216)	(125, 35.29608484131957)	(130, 35.26419928298328)	(135, 35.135394571819056)	(140, 35.05337717260638)	(145, 34.93582345769049)	(150, 34.911980915035365)																				
SRR22576104	(1, 36.051560272105334)	(2, 36.1762678252495)	(3, 36.161929823224405)	(4, 36.181403800462114)	(5, 36.20020424673236)	(6, 36.29415844694708)	(7, 36.185148537558284)	(8, 36.19824090836913)	(9, 36.27817923122618)	(10, 36.18678792437935)	(15, 36.13178361769131)	(20, 36.07344817229373)	(25, 36.0356007104228)	(30, 36.00836263841025)	(35, 35.98526947452922)	(40, 35.95884256873118)	(45, 35.9160678422932)	(50, 35.883978908606515)	(55, 35.86185994615598)	(60, 35.810024697352205)	(65, 35.75799708006302)	(70, 35.71472498430686)	(75, 35.68379319770848)	(80, 35.61428363736671)	(85, 35.59984864894779)	(90, 35.55058057402541)	(95, 35.47962713272936)	(100, 35.44534067884173)	(105, 35.38903789155436)	(110, 35.3046259032391)	(115, 35.213807268205116)	(120, 35.14420968490755)	(125, 35.088038466432316)	(130, 35.05254148189739)	(135, 34.925075483223495)	(140, 34.839400488797615)	(145, 34.72598433025793)	(150, 34.69574405492048)																				
