Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
SRR22576095	(11.0, 28.0)	(12.0, 639.0)	(13.0, 2318.0)	(14.0, 4180.0)	(15.0, 5542.0)	(16.0, 6157.0)	(17.0, 6901.0)	(18.0, 8633.0)	(19.0, 12891.0)	(20.0, 22071.0)	(21.0, 40693.0)	(22.0, 73195.0)	(23.0, 115956.0)	(24.0, 152616.0)	(25.0, 171997.0)	(26.0, 186974.0)	(27.0, 218676.0)	(28.0, 270849.0)	(29.0, 353748.0)	(30.0, 477466.0)	(31.0, 684736.0)	(32.0, 1054876.0)	(33.0, 1803222.0)	(34.0, 3902853.0)	(35.0, 13830969.0)	(36.0, 50203036.0)	(37.0, 3436887.0)		
SRR22576096	(11.0, 12.0)	(12.0, 634.0)	(13.0, 3511.0)	(14.0, 7957.0)	(15.0, 10612.0)	(16.0, 11788.0)	(17.0, 12556.0)	(18.0, 15403.0)	(19.0, 22939.0)	(20.0, 40769.0)	(21.0, 73792.0)	(22.0, 125241.0)	(23.0, 187831.0)	(24.0, 238884.0)	(25.0, 268150.0)	(26.0, 294427.0)	(27.0, 345649.0)	(28.0, 429609.0)	(29.0, 555529.0)	(30.0, 748112.0)	(31.0, 1089552.0)	(32.0, 1696984.0)	(33.0, 2925457.0)	(34.0, 6411685.0)	(35.0, 23652312.0)	(36.0, 79726316.0)	(37.0, 7571443.0)		
SRR22576097	(11.0, 1.0)	(12.0, 136.0)	(13.0, 809.0)	(14.0, 1669.0)	(15.0, 2234.0)	(16.0, 2843.0)	(17.0, 3760.0)	(18.0, 6266.0)	(19.0, 11662.0)	(20.0, 22915.0)	(21.0, 44735.0)	(22.0, 82257.0)	(23.0, 139283.0)	(24.0, 215927.0)	(25.0, 302603.0)	(26.0, 399616.0)	(27.0, 512599.0)	(28.0, 654630.0)	(29.0, 832111.0)	(30.0, 1058362.0)	(31.0, 1371291.0)	(32.0, 1846219.0)	(33.0, 2720788.0)	(34.0, 4821624.0)	(35.0, 11869426.0)	(36.0, 18410461.0)	(37.0, 85798.0)		
SRR22576098	(11.0, 2.0)	(12.0, 81.0)	(13.0, 781.0)	(14.0, 1998.0)	(15.0, 3021.0)	(16.0, 3862.0)	(17.0, 5372.0)	(18.0, 8395.0)	(19.0, 15552.0)	(20.0, 28904.0)	(21.0, 51508.0)	(22.0, 85835.0)	(23.0, 137229.0)	(24.0, 207239.0)	(25.0, 294424.0)	(26.0, 399285.0)	(27.0, 522612.0)	(28.0, 684074.0)	(29.0, 888976.0)	(30.0, 1164574.0)	(31.0, 1551363.0)	(32.0, 2167104.0)	(33.0, 3324668.0)	(34.0, 6157128.0)	(35.0, 12777132.0)	(36.0, 15913696.0)	(37.0, 65185.0)		
SRR22576099	(11.0, 17.0)	(12.0, 624.0)	(13.0, 3552.0)	(14.0, 8077.0)	(15.0, 10384.0)	(16.0, 11520.0)	(17.0, 13894.0)	(18.0, 19631.0)	(19.0, 30729.0)	(20.0, 50121.0)	(21.0, 81361.0)	(22.0, 131819.0)	(23.0, 206815.0)	(24.0, 299422.0)	(25.0, 401198.0)	(26.0, 511704.0)	(27.0, 649038.0)	(28.0, 824939.0)	(29.0, 1081611.0)	(30.0, 1451741.0)	(31.0, 2072802.0)	(32.0, 3180427.0)	(33.0, 5355441.0)	(34.0, 10577268.0)	(35.0, 27879784.0)	(36.0, 89366053.0)	(37.0, 5164096.0)		
SRR22576100	(11.0, 2.0)	(12.0, 83.0)	(13.0, 557.0)	(14.0, 1411.0)	(15.0, 2134.0)	(16.0, 2356.0)	(17.0, 2882.0)	(18.0, 3938.0)	(19.0, 6418.0)	(20.0, 11424.0)	(21.0, 21195.0)	(22.0, 37139.0)	(23.0, 58672.0)	(24.0, 86904.0)	(25.0, 123366.0)	(26.0, 167706.0)	(27.0, 230356.0)	(28.0, 313428.0)	(29.0, 430153.0)	(30.0, 597048.0)	(31.0, 842593.0)	(32.0, 1239656.0)	(33.0, 2001898.0)	(34.0, 3919741.0)	(35.0, 9238450.0)	(36.0, 11896268.0)	(37.0, 45335.0)		
SRR22576101	(11.0, 6.0)	(12.0, 349.0)	(13.0, 2124.0)	(14.0, 4798.0)	(15.0, 6375.0)	(16.0, 7059.0)	(17.0, 7813.0)	(18.0, 10034.0)	(19.0, 15446.0)	(20.0, 26069.0)	(21.0, 44406.0)	(22.0, 72758.0)	(23.0, 114211.0)	(24.0, 164082.0)	(25.0, 219727.0)	(26.0, 283158.0)	(27.0, 364016.0)	(28.0, 469414.0)	(29.0, 619985.0)	(30.0, 835080.0)	(31.0, 1186229.0)	(32.0, 1800608.0)	(33.0, 2973625.0)	(34.0, 5684048.0)	(35.0, 14294941.0)	(36.0, 45025779.0)	(37.0, 2830921.0)		
SRR22576102	(9.0, 1.0)	(10.0, 0.0)	(11.0, 16.0)	(12.0, 521.0)	(13.0, 1882.0)	(14.0, 3566.0)	(15.0, 4595.0)	(16.0, 5630.0)	(17.0, 7312.0)	(18.0, 11061.0)	(19.0, 19443.0)	(20.0, 33548.0)	(21.0, 57576.0)	(22.0, 94705.0)	(23.0, 142862.0)	(24.0, 192229.0)	(25.0, 232934.0)	(26.0, 275341.0)	(27.0, 335543.0)	(28.0, 418538.0)	(29.0, 541231.0)	(30.0, 719853.0)	(31.0, 1007186.0)	(32.0, 1516737.0)	(33.0, 2504408.0)	(34.0, 4954218.0)	(35.0, 14555836.0)	(36.0, 58419172.0)	(37.0, 4628992.0)
SRR22576103	(10.0, 1.0)	(11.0, 4.0)	(12.0, 339.0)	(13.0, 1860.0)	(14.0, 4117.0)	(15.0, 5265.0)	(16.0, 5977.0)	(17.0, 7075.0)	(18.0, 9526.0)	(19.0, 14837.0)	(20.0, 26098.0)	(21.0, 46980.0)	(22.0, 83601.0)	(23.0, 137750.0)	(24.0, 196145.0)	(25.0, 248457.0)	(26.0, 298450.0)	(27.0, 366219.0)	(28.0, 455706.0)	(29.0, 586008.0)	(30.0, 772192.0)	(31.0, 1068626.0)	(32.0, 1592176.0)	(33.0, 2626464.0)	(34.0, 5259926.0)	(35.0, 15257262.0)	(36.0, 60541789.0)	(37.0, 4333355.0)	
SRR22576104	(11.0, 25.0)	(12.0, 559.0)	(13.0, 3162.0)	(14.0, 6943.0)	(15.0, 9755.0)	(16.0, 11325.0)	(17.0, 14565.0)	(18.0, 23202.0)	(19.0, 39351.0)	(20.0, 66367.0)	(21.0, 105843.0)	(22.0, 164308.0)	(23.0, 241489.0)	(24.0, 320686.0)	(25.0, 388747.0)	(26.0, 460555.0)	(27.0, 557233.0)	(28.0, 690776.0)	(29.0, 885361.0)	(30.0, 1156615.0)	(31.0, 1595096.0)	(32.0, 2339036.0)	(33.0, 3733603.0)	(34.0, 7051426.0)	(35.0, 18889250.0)	(36.0, 68385366.0)	(37.0, 5182328.0)		
