Sample	Unique Reads	Duplicate Reads
SRR22576095	50658396	26389713
SRR22576096	91317369	35149785
SRR22576097	39271937	6148088
SRR22576098	40479809	5980191
SRR22576099	120607915	28776153
SRR22576100	27466160	3814953
SRR22576101	63483539	13579522
SRR22576102	76686313	13998623
SRR22576103	77671000	16275205
SRR22576104	74651362	37671610
SRR22576105	125438372	169625639
SRR22576106	36204168	8471435
SRR22576107	32929483	5577077
SRR22576108	34183469	7185458
SRR22576109	34110036	6764232
SRR22576110	511041980	216992575
SRR22576112	492225002	357972290
SRR22576113	37969886	4989085
SRR22576114	67131573	12171655
SRR22576115	98945314	55929056
SRR22576116	66769478	13255089
SRR22576117	95181206	26740984
SRR22576118	35178998	4266424
SRR22576119	51723487	32294353
SRR22576120	109340718	63516224
SRR22576121	63250689	21473212
SRR22576122	84374499	42316374
SRR22576123	76533607	30749192
SRR22576124	64130059	20522525
SRR22576125	108088137	43019639
SRR22576126	81372954	28555839
SRR22576127	65357740	37355213
SRR22576128	30590333	14345391
SRR22576129	63903899	24378201
SRR22576130	58285169	19810276
SRR22576131	25589614	9554864
SRR22576132	33639678	7863728
