Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR22576095	(1.0, 49.8378678508127)	(2.0, 19.291057187754802)	(3.0, 9.00955207246266)	(4.0, 5.1119058689458985)	(5.0, 3.3910535039007947)	(6.0, 2.2369789148911643)	(7.0, 1.7249900211897644)	(8.0, 1.349522249270789)	(9.0, 1.0527198730612495)	('>10', 5.9348537822372345)	('>50', 0.5949869073443921)	('>100', 0.3659025386872618)	('>500', 0.0045733933629810725)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.09403583607830954)
SRR22576096	(1.0, 57.83458416418168)	(2.0, 18.755586660851527)	(3.0, 7.682114842901805)	(4.0, 4.144645488133188)	(5.0, 2.5320161130439214)	(6.0, 1.7769896306006747)	(7.0, 1.2661269752410935)	(8.0, 0.9247706814264358)	(9.0, 0.6701295474947068)	('>10', 3.272234932873122)	('>50', 0.38313352431416914)	('>100', 0.38772505571659444)	('>500', 0.06495441706162187)	('>1k', 0.18658989242796128)	('>5k', 0.02620394034964152)	('>10k+', 0.09219413338178746)
SRR22576097	(1.0, 76.52304331913102)	(2.0, 15.847734513168014)	(3.0, 3.991025376857676)	(4.0, 1.5462037517247915)	(5.0, 0.7238416786886749)	(6.0, 0.3719082434549135)	(7.0, 0.22442151503303132)	(8.0, 0.16020721995201534)	(9.0, 0.11096927919670349)	('>10', 0.411773723243256)	('>50', 0.0314847884863454)	('>100', 0.023004078242565784)	('>500', 0.0019105333443119707)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.03247197947673615)
SRR22576098	(1.0, 77.8752045363865)	(2.0, 15.198802026427275)	(3.0, 3.38521076318992)	(4.0, 1.0515585254685165)	(5.0, 0.4877659076626608)	(6.0, 0.27331349960101703)	(7.0, 0.17605445850240586)	(8.0, 0.13396064016295348)	(9.0, 0.10790106693220418)	('>10', 1.088625538004568)	('>50', 0.13309932229782057)	('>100', 0.05623729265712278)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.03226642270710154)
SRR22576099	(1.0, 66.97051487445573)	(2.0, 21.289027959604088)	(3.0, 6.423083258310165)	(4.0, 2.1935039519586477)	(5.0, 1.047630711453515)	(6.0, 0.4864738935631623)	(7.0, 0.3344501895901844)	(8.0, 0.19533554603089887)	(9.0, 0.15933290103372394)	('>10', 0.7570063555853562)	('>50', 0.05638466203707665)	('>100', 0.02389746609314994)	('>500', 0.0012233143973038806)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.062134915887110086)
SRR22576100	(1.0, 78.70245642582651)	(2.0, 14.725235747592105)	(3.0, 3.53565398622286)	(4.0, 1.246229243294433)	(5.0, 0.5844719873498313)	(6.0, 0.3033297653961413)	(7.0, 0.1897871921230688)	(8.0, 0.11427403566799704)	(9.0, 0.103330591722269)	('>10', 0.4282985013617174)	('>50', 0.024824553766807714)	('>100', 0.008753404740979881)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.03335456493527414)	('>10k+', 0.0)
SRR22576101	(1.0, 69.54087001529454)	(2.0, 20.281813252954215)	(3.0, 5.6140827168168075)	(4.0, 1.8069797354690484)	(5.0, 0.8094728585800013)	(6.0, 0.4601700982819133)	(7.0, 0.29797296404565127)	(8.0, 0.19578059733095227)	(9.0, 0.16979945513865527)	('>10', 0.7115904783355577)	('>50', 0.033540951379629785)	('>100', 0.014917039974034563)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06300983639898351)
SRR22576102	(1.0, 72.444728847762)	(2.0, 19.959858349416677)	(3.0, 4.851735306335447)	(4.0, 1.279243974185515)	(5.0, 0.47074692805503127)	(6.0, 0.2585689658015364)	(7.0, 0.14641195816362243)	(8.0, 0.1133885189722956)	(9.0, 0.07430007466256507)	('>10', 0.31194331984264595)	('>50', 0.021882631257192503)	('>100', 0.007660815080780685)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.05953031046468758)
SRR22576103	(1.0, 69.91733877519916)	(2.0, 20.32443859802893)	(3.0, 5.4167327094677375)	(4.0, 1.7235734907894775)	(5.0, 0.7821775659484556)	(6.0, 0.4689837410618695)	(7.0, 0.26070108726404456)	(8.0, 0.19764836696681307)	(9.0, 0.16363344261648968)	('>10', 0.6434211439614015)	('>50', 0.028131018517378804)	('>100', 0.022265979827340018)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.050954080350956395)
SRR22576104	(1.0, 50.1138419076175)	(2.0, 20.290832148861256)	(3.0, 9.13555450186146)	(4.0, 4.940371059526041)	(5.0, 3.307898524667467)	(6.0, 2.3000820636732198)	(7.0, 1.6876390909367407)	(8.0, 1.2919012728247803)	(9.0, 1.0049816269652598)	('>10', 5.228646332733935)	('>50', 0.3099560298663045)	('>100', 0.30403898195348783)	('>500', 0.017266335811393693)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06699012270100566)
