Sample	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
SRR22576095	34.25095572990699	42.0	150.0	150	20.0	77.048109
SRR22576096	27.79360852128457	48.0	150.0	150	20.0	126.467154
SRR22576097	13.536074603473509	48.0	250.0	250	20.0	45.420024999999995
SRR22576098	12.871699983317683	45.0	250.0	250	20.0	46.46
SRR22576099	19.263201429375172	45.0	150.0	150	10.0	149.38406799999998
SRR22576100	12.195709954531623	49.0	250.0	250	20.0	31.281112999999998
SRR22576101	17.62131271423081	48.0	150.0	150	10.0	77.06306099999999
SRR22576102	15.436547587397115	46.0	150.0	150	10.0	90.684936
SRR22576103	17.32396283685155	47.0	150.0	150	10.0	93.94620499999999
SRR22576104	33.53865207406642	48.0	150.0	150	10.0	112.322972
SRR22576105	57.48774258150702	49.0	150.0	150	30.0	295.064011
SRR22576106	18.96210673661062	48.0	250.0	250	20.0	44.675602999999995
SRR22576107	14.483447443819614	48.0	250.0	250	20.0	38.50656
SRR22576108	17.369216799972577	49.0	250.0	250	20.0	41.368927
SRR22576109	16.54887698350339	48.0	250.0	250	20.0	40.874268
SRR22576110	29.805257670811997	44.0	150.0	150	10.0	728.034555
SRR22576112	42.10461424452261	48.0	150.0	150	10.0	850.197292
SRR22576113	11.613604951329378	46.0	250.0	250	20.0	42.958971
SRR22576114	15.348246711094788	45.0	150.0	150	10.0	79.30322799999999
SRR22576115	36.112532271020015	48.0	150.0	150	20.0	154.87437
SRR22576116	16.56377581083224	45.0	150.0	150	10.0	80.02456699999999
SRR22576117	21.932827851237008	48.0	150.0	150	10.0	121.92219
SRR22576118	10.81601921060927	45.0	250.0	250	20.0	39.445422
SRR22576119	38.43749534799733	42.0	150.0	150	20.0	84.01783999999999
SRR22576120	36.744965891912216	49.0	150.0	150	20.0	172.856942
SRR22576121	25.344928834836367	46.0	150.0	150	20.0	84.723901
SRR22576122	33.40128106822358	45.0	150.0	150	10.0	126.690873
SRR22576123	28.661810145819004	43.0	150.0	150	20.0	107.282799
SRR22576124	24.24323612771741	46.0	150.0	150	10.0	84.65258399999999
SRR22576125	28.469507685583977	47.0	150.0	150	10.0	151.107776
SRR22576126	25.976669560624913	46.0	150.0	150	10.0	109.928793
SRR22576127	36.368551471495316	41.0	150.0	150	20.0	102.712953
SRR22576128	31.92424612563721	43.0	150.0	150	10.0	44.935724
SRR22576129	27.61397977558707	45.0	150.0	150	10.0	88.2821
SRR22576130	25.366750447174695	47.0	150.0	150	10.0	78.095445
SRR22576131	27.187385399360195	50.0	250.0	250	20.0	35.144478
SRR22576132	18.94718875126317	49.0	250.0	250	20.0	41.503406
