.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR22576095	1	1	1	0.25	0.5	1	0.5	0.5	1	0.25
SRR22576096	1	1	1	0.25	1	1	0.5	1	1	0.25
SRR22576097	1	1	1	0.25	1	1	0.5	1	1	0.25
SRR22576098	1	1	1	0.25	0.5	1	0.5	1	1	0.25
SRR22576099	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR22576100	1	1	1	0.25	1	1	0.5	1	1	0.25
SRR22576101	1	1	1	0.25	1	1	0.5	1	1	1
SRR22576102	1	1	1	0.25	1	1	0.5	1	1	0.5
SRR22576103	1	1	1	0.25	1	1	0.5	1	1	1
SRR22576104	1	1	1	0.25	1	1	0.5	0.5	1	0.5
SRR22576105	1	1	1	0.25	0.5	1	0.5	0.25	1	0.25
SRR22576106	1	1	1	0.25	1	1	0.5	1	1	0.25
SRR22576107	1	1	1	0.25	1	1	0.5	1	1	0.25
SRR22576108	1	1	1	0.25	1	1	0.5	1	1	0.25
SRR22576109	1	1	1	0.25	1	1	0.5	1	1	0.25
SRR22576110	1	1	1	0.25	1	1	0.5	0.5	1	0.5
SRR22576112	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR22576113	1	1	1	0.25	1	1	0.5	1	1	0.25
SRR22576114	1	1	1	0.25	1	1	0.5	1	1	0.5
SRR22576115	1	1	1	0.25	1	1	0.5	0.5	1	0.25
SRR22576116	1	1	1	0.25	1	1	0.5	1	1	0.5
SRR22576117	1	1	1	0.25	1	1	0.5	1	1	1
SRR22576118	1	1	1	0.25	0.5	1	0.5	1	1	0.25
SRR22576119	1	1	1	0.25	1	1	0.5	0.5	1	0.25
SRR22576120	1	1	1	0.25	1	1	0.5	0.5	1	0.25
SRR22576121	1	1	1	0.25	1	1	0.5	1	0.5	0.25
SRR22576122	1	1	1	0.25	0.5	1	0.5	0.5	1	0.5
SRR22576123	1	1	1	0.25	0.25	1	0.5	1	1	0.5
SRR22576124	1	1	1	0.25	1	1	0.5	1	1	0.5
SRR22576125	1	1	1	0.25	1	1	0.5	1	1	0.5
SRR22576126	1	1	1	0.25	1	1	0.5	1	1	0.5
SRR22576127	1	1	1	0.25	0.25	1	0.5	0.5	1	0.5
SRR22576128	1	1	1	0.25	0.5	1	0.5	0.5	1	0.5
SRR22576129	1	1	1	0.25	1	1	0.5	1	1	0.5
SRR22576130	1	1	1	0.25	1	1	0.5	1	1	0.5
SRR22576131	1	1	1	0.25	0.5	1	0.5	1	1	0.25
SRR22576132	1	1	1	0.25	1	1	0.5	1	1	0.25
