Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR22576095 - nextera_transposase_sequence	(1, 9.448673798318679e-06)	(2, 1.0798484340935633e-05)	(3, 1.8897347596637358e-05)	(4, 3.7794695193274716e-05)	(5, 4.049431627850862e-05)	(6, 4.1844126821125576e-05)	(7, 4.319393736374253e-05)	(8, 4.724336899159339e-05)	(9, 7.693920092916639e-05)	(10, 0.00023756665550058392)	(12, 0.00029830812991834686)	(14, 0.00041236712076947945)	(16, 0.0005952664492940768)	(18, 0.0012566736151763843)	(20, 0.0030890414267788994)	(22, 0.005742768953563831)	(24, 0.01130466329441699)	(26, 0.03000763817291751)	(28, 0.15579040849194967)	(30, 0.3340679857186265)	(32, 0.5005853385927531)	(34, 0.717373685505563)	(36, 0.9996507905145195)	(38, 1.236094403643646)	(40, 1.4871038223381523)	(42, 1.816458944547232)	(44, 2.211696969530902)	(46, 2.627657960870099)	(48, 2.9294958453573896)	(50, 3.2152088931025773)	(52, 3.5918600269144125)	(54, 4.023499067706105)	(56, 4.453027679714417)	(58, 4.7896981001592085)	(60, 5.091017657398134)	(62, 5.481799282875354)	(64, 5.937678896296634)	(66, 6.384109835919595)	(68, 6.748544509415476)	(70, 7.059731181720931)	(72, 7.44251720444896)	(74, 7.909060996062184)	(76, 8.376310738589197)	(78, 8.767577620956489)	(80, 9.09068716978488)	(82, 9.458754183450942)	(84, 9.916952771384437)	(86, 10.392819029510246)	(88, 10.807952586986818)	(90, 11.14643175355872)	(92, 11.498801145519415)	(94, 11.938021397223718)	(96, 12.41621135419864)	(98, 12.850397487484253)	(100, 13.206301358350794)	(102, 13.550368065663855)	(104, 13.967495968217145)	(106, 14.440349449211833)	(108, 14.89048224424792)	(110, 15.266276248365195)	(112, 15.610050721695778)	(114, 16.00808420431321)	(116, 16.470362594611764)	(118, 16.930091192795317)	(120, 17.325570158960844)	(122, 17.676346099575984)	(124, 18.059439879107728)	(126, 18.509260867908473)	(128, 18.974746408056284)	(130, 19.392187466655464)	(132, 19.754938251499425)	(134, 20.130136989167404)	(136, 20.569063657078686)	(138, 21.038259151502885)
SRR22576095 - polyg	(1, 0.05922293755731886)	(2, 0.05925668282088428)	(3, 0.05926883111576784)	(4, 0.05928637865282186)	(5, 0.05930257637933326)	(6, 0.059314724674216814)	(7, 0.05932417334801513)	(8, 0.05933632164289868)	(9, 0.05936061823266579)	(10, 0.059381540296076354)	(12, 0.05943148328615318)	(14, 0.05947130269716038)	(16, 0.0594969490974701)	(18, 0.059528669645221605)	(20, 0.05955094151917478)	(22, 0.05959143583545329)	(24, 0.05962788072010395)	(26, 0.05967039975219638)	(28, 0.05972371726862975)	(30, 0.059786483458861436)	(32, 0.059853299080720984)	(34, 0.05994171167126239)	(36, 0.06002539992490464)	(38, 0.06011043798908951)	(40, 0.060204249821801385)	(42, 0.06029603693869934)	(44, 0.06037500085544243)	(46, 0.06044586590892982)	(48, 0.0605234800151303)	(50, 0.06060716826877255)	(52, 0.060684782374973024)	(54, 0.06074012460722032)	(56, 0.06081233947125032)	(58, 0.0608899535774508)	(60, 0.060980390883806135)	(62, 0.061064754042719695)	(64, 0.06114236814892017)	(66, 0.061211883391864945)	(68, 0.061274649582096635)	(70, 0.06132931690907262)	(72, 0.061377235183335516)	(74, 0.06143730175248197)	(76, 0.0614872447425588)	(78, 0.061546636406433944)	(80, 0.06160400335449517)	(82, 0.06165124672348676)	(84, 0.061697815187207045)	(86, 0.061760581377438735)	(88, 0.06185101868379407)	(90, 0.06191918411619623)	(92, 0.06197857578007138)	(94, 0.06207576213913979)	(96, 0.06230388012084206)	(98, 0.06269397536765836)	(100, 0.06328991672222374)	(102, 0.06466469875987911)	(104, 0.07451224157354111)	(106, 0.10528184779776588)	(108, 0.13965139873915006)	(110, 0.1788006288119409)	(112, 0.23558985796092138)	(114, 0.3011751275108653)	(116, 0.3527021202594536)	(118, 0.41878951933125097)	(120, 0.5093503333512364)	(122, 0.6165961554885099)	(124, 0.7119433976926149)	(126, 0.7812784409299487)	(128, 0.8601789165775375)	(130, 0.9669151852349731)	(132, 1.0878015178106624)	(134, 1.1957667889671506)	(136, 1.276675107796882)	(138, 1.3624596172118175)
SRR22576096 - nextera_transposase_sequence	(1, 9.057613378984253e-06)	(2, 9.881032777073731e-06)	(3, 1.4821549165610597e-05)	(4, 3.0466517729310672e-05)	(5, 3.29367759235791e-05)	(6, 4.446464749683179e-05)	(7, 6.0933035458621344e-05)	(8, 7.74014234204109e-05)	(9, 0.0001539794274427323)	(10, 0.0008967037245194411)	(12, 0.0011881941914431162)	(14, 0.0015607914690786047)	(16, 0.0026818769795774284)	(18, 0.0061287105799799815)	(20, 0.015185088829867101)	(22, 0.02894772064953463)	(24, 0.055675502601820026)	(26, 0.13015008177172188)	(28, 0.5428919370319658)	(30, 1.0924692161570202)	(32, 1.5630900443283715)	(34, 2.123350366724239)	(36, 2.8108042835429874)	(38, 3.393522134892648)	(40, 4.0215379341700075)	(42, 4.81512155378911)	(44, 5.719830973406477)	(46, 6.639204257374718)	(48, 7.300941551262037)	(50, 7.9366818479128725)	(52, 8.75549462617974)	(54, 9.666509791547675)	(56, 10.558036678311327)	(58, 11.25775830903251)	(60, 11.884963451912451)	(62, 12.675579056311141)	(64, 13.585005845660163)	(66, 14.467136693672217)	(68, 15.193323023847995)	(70, 15.80996287243105)	(72, 16.54512241549751)	(74, 17.42251901368025)	(76, 18.297246086174383)	(78, 19.039161785402165)	(80, 19.64756538145583)	(82, 20.320474829736426)	(84, 21.13911592505879)	(86, 21.985627708457987)	(88, 22.73087372744134)	(90, 23.336232318560874)	(92, 23.95060447012159)	(94, 24.69693410903283)	(96, 25.50351993265747)	(98, 26.237753128901076)	(100, 26.84164479836291)	(102, 27.411740865468957)	(104, 28.081933853155256)	(106, 28.834575001752853)	(108, 29.549054366636298)	(110, 30.148278894949758)	(112, 30.684790566775625)	(114, 31.287006577762348)	(116, 31.979356546322137)	(118, 32.66625671359567)	(120, 33.25479119957343)	(122, 33.76814255398924)	(124, 34.314228123156695)	(126, 34.943752426771354)	(128, 35.59279753405652)	(130, 36.169330270597435)	(132, 36.665253541742985)	(134, 37.16696998006378)	(136, 37.73898255581888)	(138, 38.344386846715004)
SRR22576096 - polyg	(1, 0.06488297831125657)	(2, 0.06493979424972474)	(3, 0.06496037973467698)	(4, 0.0649661436704636)	(5, 0.0649826120584254)	(6, 0.06500237412397954)	(7, 0.06501554883434897)	(8, 0.06502295960893179)	(9, 0.06502954696411649)	(10, 0.06504972073936968)	(12, 0.06506701254672956)	(14, 0.06508142238619613)	(16, 0.06509994932265314)	(18, 0.06512218164640156)	(20, 0.06513823832466431)	(22, 0.06515800039021845)	(24, 0.06517570390727738)	(26, 0.065190525456443)	(28, 0.06521481632868663)	(30, 0.06523828378153218)	(32, 0.06526463320227105)	(34, 0.06529798168789366)	(36, 0.0653268013668268)	(38, 0.06537044259492554)	(40, 0.06541079014543191)	(42, 0.06544702059894786)	(44, 0.06549025011734755)	(46, 0.06552730399026158)	(48, 0.06556559299227274)	(50, 0.06559852976819633)	(52, 0.06563352509261512)	(54, 0.06566769699763583)	(56, 0.0657022806123556)	(58, 0.06574509842105625)	(60, 0.06577062442239703)	(62, 0.06580850171470914)	(64, 0.06584061507123463)	(66, 0.06587231671806107)	(68, 0.06590237152609134)	(70, 0.0659369551408111)	(72, 0.06597153875553086)	(74, 0.06599912330536685)	(76, 0.06602547272610572)	(78, 0.06605223385654363)	(80, 0.06608064182577772)	(82, 0.06611193176290511)	(84, 0.06614816221642106)	(86, 0.06627579222312491)	(88, 0.06648988126662819)	(90, 0.066598572627176)	(92, 0.06678795908873658)	(94, 0.0672354875315982)	(96, 0.06842162317454609)	(98, 0.07062427006443545)	(100, 0.07392947552836661)	(102, 0.08047154264618751)	(104, 0.11504980513985799)	(106, 0.20978214834155717)	(108, 0.30767683374161897)	(110, 0.4080281909158807)	(112, 0.5429191098721028)	(114, 0.6930869289210789)	(116, 0.8133868561431554)	(118, 0.9659775867710099)	(120, 1.1651149808437653)	(122, 1.389608751861288)	(124, 1.5848624883429545)	(126, 1.7290732797564523)	(128, 1.896970965285091)	(130, 2.1166897272130933)	(132, 2.3583167973563626)	(134, 2.572610048870353)	(136, 2.7362440687556844)	(138, 2.908640094456086)
SRR22576097 - nextera_transposase_sequence	(1, 0.0)	(2, 4.715579804114815e-06)	(3, 7.073369706172222e-06)	(4, 1.4146739412344444e-05)	(5, 1.4146739412344444e-05)	(6, 1.4146739412344444e-05)	(7, 1.886231921645926e-05)	(8, 1.886231921645926e-05)	(9, 3.0651268726746295e-05)	(10, 5.8944747551435186e-05)	(15, 9.902717588641111e-05)	(20, 0.00029519529573758735)	(25, 0.006024624757737088)	(30, 0.044463673530979006)	(35, 0.11337904302023456)	(40, 0.19111301830116523)	(45, 0.3080447791458199)	(50, 0.41135134370446524)	(55, 0.5525730561201152)	(60, 0.6779777707568033)	(65, 0.8492414989885082)	(70, 1.0011902123425584)	(75, 1.2078207891051245)	(80, 1.3883666646232489)	(85, 1.6342558579290116)	(90, 1.849413146093378)	(95, 2.1364820831545344)	(100, 2.3914534831630223)	(105, 2.7242088435983645)	(110, 3.03170991639277)	(115, 3.4161829267717607)	(120, 3.7850935806812123)	(125, 4.2243055129843485)	(130, 4.666234562370617)	(135, 5.169497272037083)	(140, 5.695040153162032)	(145, 6.265257494235203)	(150, 6.8860442415697225)	(155, 7.53533006700839)	(160, 8.263251015028553)	(165, 9.002714287735248)	(170, 9.849827174000179)	(175, 10.683677963624017)	(180, 11.652357082565086)	(185, 12.595020347726855)	(190, 13.690158113390831)	(195, 14.74477207245017)	(200, 15.967425246271157)	(205, 17.13941234444481)	(210, 18.476606951707748)	(215, 19.762031566091206)	(220, 21.199706219378204)	(225, 22.59214667339423)	(230, 24.11648000829942)	(235, 25.591219590404737)																			
SRR22576097 - polya	(1, 2.593568892263148e-05)	(2, 2.8293478824688888e-05)	(3, 6.130253745349259e-05)	(4, 9.195380618023889e-05)	(5, 0.00017211866285019075)	(6, 0.00023342120030368335)	(7, 0.0002829347882468889)	(8, 0.00037253080452507036)	(9, 0.00045741124099913706)	(10, 0.001712698584854501)	(15, 0.005249854995921023)	(20, 0.008812947095910179)	(25, 0.012321810028152013)	(30, 0.015835388540197958)	(35, 0.019596063433979523)	(40, 0.023255824919953032)	(45, 0.026871731513748276)	(50, 0.030481036295817755)	(55, 0.034082324592220235)	(60, 0.03766475056940626)	(65, 0.04115616585637287)	(70, 0.04467163060034046)	(75, 0.04814748447395349)	(80, 0.051737455378826104)	(85, 0.055152949830946464)	(90, 0.05866086964722748)	(95, 0.061909904132262585)	(100, 0.06519807792967183)	(105, 0.06853482219906348)	(110, 0.07180083277139342)	(115, 0.07496875928379773)	(120, 0.0780187963010992)	(125, 0.08106883331840066)	(130, 0.08411698410378048)	(135, 0.08709817365594189)	(140, 0.09002466248237553)	(145, 0.09274366579742813)	(150, 0.0954046674808901)	(155, 0.09801757025035014)	(160, 0.10065593715075236)	(165, 0.10326223810848663)	(170, 0.1058152530144344)	(175, 0.10840787879073673)	(180, 0.11090713608691757)	(185, 0.11329039011991719)	(190, 0.11565053781187666)	(195, 0.11793146376312699)	(200, 0.12010157358898063)	(205, 0.12209343449823873)	(210, 0.12400795989870934)	(215, 0.12596020993761287)	(220, 0.12784078316349384)	(225, 0.12953226163922987)	(230, 0.13108180116286197)	(235, 0.13253561441647058)																			
SRR22576097 - polyg	(1, 0.023851402649212733)	(2, 0.023978723303923834)	(3, 0.024002301202944408)	(4, 0.02401880573225881)	(5, 0.024063603740397902)	(6, 0.02409189721922259)	(7, 0.02410840174853699)	(8, 0.024115475118243163)	(9, 0.024124906277851393)	(10, 0.02417064740195131)	(15, 0.024237137077189327)	(20, 0.02431070012213352)	(25, 0.024408784182059107)	(30, 0.024542706648495966)	(35, 0.024690304296364762)	(40, 0.024841202850096434)	(45, 0.02499304451978893)	(50, 0.02517365122628653)	(55, 0.025296727859173924)	(60, 0.025481578587495224)	(65, 0.025624932213540313)	(70, 0.02575461065815347)	(75, 0.025879101964982103)	(80, 0.026000292365947853)	(85, 0.026113937839227025)	(90, 0.026229941102408248)	(95, 0.026383197446041978)	(100, 0.026593512305305496)	(105, 0.02915265746499861)	(110, 0.03545550143117847)	(115, 0.04363325992747439)	(120, 0.056256867063089744)	(125, 0.06942135120223707)	(130, 0.0861262926583138)	(135, 0.10190603735682321)	(140, 0.1219731872132338)	(145, 0.14208702130970513)	(150, 0.1679595214629615)	(155, 0.19463319862493692)	(160, 0.22500907749112295)	(165, 0.2600684702187558)	(170, 0.29565459321050824)	(175, 0.3378915699579842)	(180, 0.38084625795164645)	(185, 0.43225975299792985)	(190, 0.4823873094316312)	(195, 0.5462919038210343)	(200, 0.6028326487883318)	(205, 0.6776891772727917)	(210, 0.747755148234251)	(215, 0.8380509565553634)	(220, 0.9177461414768253)	(225, 1.0173613501648096)	(230, 1.1045717546200895)	(235, 1.2143254598869204)																			
SRR22576098 - nextera_transposase_sequence	(1, 0.0)	(2, 4.607975663990285e-06)	(3, 1.1519939159975712e-05)	(4, 1.843190265596114e-05)	(5, 2.534386615194657e-05)	(6, 2.534386615194657e-05)	(7, 2.7647853983941713e-05)	(8, 2.7647853983941713e-05)	(9, 5.299172013588828e-05)	(10, 7.787478872143583e-05)	(15, 0.0001244153429277377)	(20, 0.00044466965157506253)	(25, 0.005629103071130533)	(30, 0.03936132812180502)	(35, 0.09703659472257302)	(40, 0.15939909416875192)	(45, 0.2523590128213928)	(50, 0.3292679698436562)	(55, 0.4361250823013254)	(60, 0.5268077393808221)	(65, 0.6527215959944895)	(70, 0.7582041493115903)	(75, 0.9057400101333993)	(80, 1.0283324378884624)	(85, 1.198222510251421)	(90, 1.3424572173075473)	(95, 1.5374165204728787)	(100, 1.7088313719830517)	(105, 1.9300188118302493)	(110, 2.1340567486487747)	(115, 2.382963926900272)	(120, 2.6258512457443333)	(125, 2.9089173475929906)	(130, 3.2001764301722226)	(135, 3.520436729187911)	(140, 3.86602753122612)	(145, 4.22990554548444)	(150, 4.639088254875981)	(155, 5.056146455474847)	(160, 5.539584849501326)	(165, 6.014445957626853)	(170, 6.575079924761894)	(175, 7.120684057673699)	(180, 7.770448715684607)	(185, 8.395157506022565)	(190, 9.136858190493575)	(195, 9.850545147712921)	(200, 10.691042212812581)	(205, 11.503381321022296)	(210, 12.437881550464926)	(215, 13.348036922879562)	(220, 14.376994663065625)	(225, 15.394628303057436)	(230, 16.511033901406876)	(235, 17.620128024770263)																			
SRR22576098 - polya	(1, 3.9167793143917425e-05)	(2, 5.299172013588828e-05)	(3, 8.524754978382028e-05)	(4, 0.00011519939159975713)	(5, 0.0002050549170475677)	(6, 0.00032025430864732483)	(7, 0.00040780584626314026)	(8, 0.000548349104014844)	(9, 0.0006796764104385671)	(10, 0.0027509614714022004)	(15, 0.00914913568085271)	(20, 0.015343176568388453)	(25, 0.021817843173861203)	(30, 0.028407709170933708)	(35, 0.03541091058506614)	(40, 0.042664785875319654)	(45, 0.049691948762904836)	(50, 0.056641236861768585)	(55, 0.06355135716748841)	(60, 0.07058911839910079)	(65, 0.07760844772805717)	(70, 0.08468215116984867)	(75, 0.09184202375655678)	(80, 0.09861759117288808)	(85, 0.10555213374962706)	(90, 0.11237792810069588)	(95, 0.11900281471281471)	(100, 0.12566548672537828)	(105, 0.13253459604768858)	(110, 0.13924473020959124)	(115, 0.14577745730843025)	(120, 0.15237147048360034)	(125, 0.15892631586562653)	(130, 0.16527472393790596)	(135, 0.17141853789070421)	(140, 0.17728449091096385)	(145, 0.18316058147768424)	(150, 0.1890200833320143)	(155, 0.1948500941420948)	(160, 0.200736322255276)	(165, 0.20651195895252142)	(170, 0.21208760950594968)	(175, 0.2175747869266293)	(180, 0.2226845711404281)	(185, 0.22784366069383166)	(190, 0.23287464852377626)	(195, 0.23777016186919955)	(200, 0.24267443036838438)	(205, 0.24732111302795218)	(210, 0.2516129815613927)	(215, 0.2558043962253583)	(220, 0.2598050406968347)	(225, 0.26365961233976254)	(230, 0.26733677691962676)	(235, 0.2706683433246918)																			
SRR22576098 - polyg	(1, 0.02327949305447892)	(2, 0.02346150809320654)	(3, 0.0234799399958625)	(4, 0.02350297987418245)	(5, 0.02353523570383038)	(6, 0.023572099509142304)	(7, 0.023604355338790236)	(8, 0.023615875277950213)	(9, 0.02362509122927819)	(10, 0.02368361252021087)	(15, 0.023785448782385053)	(20, 0.02388912823482484)	(25, 0.024014465172885368)	(30, 0.024155469228203476)	(35, 0.024302002854318362)	(40, 0.024483096297913183)	(45, 0.024669258514738394)	(50, 0.024878460609883548)	(55, 0.025089045097727906)	(60, 0.025265530565658733)	(65, 0.025468742292440706)	(70, 0.025682091565683456)	(75, 0.025890832863262214)	(80, 0.026070543914157834)	(85, 0.02627237324824061)	(90, 0.0264677514163938)	(95, 0.026616589030340688)	(100, 0.0268474486111066)	(105, 0.028424297883324075)	(110, 0.031956311229772626)	(115, 0.03599243711386172)	(120, 0.04167314951242894)	(125, 0.04684145501716044)	(130, 0.05286822638809334)	(135, 0.0581549568673894)	(140, 0.06431904591310919)	(145, 0.06975092762582095)	(150, 0.07654400534967541)	(155, 0.08257261991087392)	(160, 0.0887864750937648)	(165, 0.09589243436520424)	(170, 0.10192842168746512)	(175, 0.10885328751530972)	(180, 0.11550674357654529)	(185, 0.12292143721747206)	(190, 0.12928366921674345)	(195, 0.1366403023643039)	(200, 0.14266062256930723)	(205, 0.15051768187397707)	(210, 0.15751581451487912)	(215, 0.16626129152756627)	(220, 0.1735041076762262)	(225, 0.18255924065353352)	(230, 0.18977164416281112)	(235, 0.1988346106987472)																			
