Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR22576095	(1, 0.058823393636704246)	(2, 0.0209787554533527)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00043733861580789313)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.00511686180495235)	(20, 0.0)	(25, 2.05171202477777e-05)	(30, 0.0)	(35, 0.004235975444840525)	(40, 3.4825111999517414e-05)	(45, 0.00619967982223967)	(50, 0.012386382268566844)	(55, 0.0008292628926843023)	(60, 0.0)	(65, 0.006597451404847519)	(70, 7.597484820089659e-06)	(75, 0.011459125173087385)	(80, 0.011653961285333315)	(85, 0.0)	(90, 0.00018605800781252663)	(95, 0.0)	(100, 0.0032295643257745344)	(105, 0.006625634988218013)	(110, 0.00018467635307151703)	(115, 0.0)	(120, 0.0)	(125, 0.005294977817304931)	(130, 0.0009563080377899902)	(135, 0.0)	(140, 0.001313855211241146)	(145, 0.0)	(150, 0.0)																				
SRR22576096	(1, 0.058403491067690466)	(2, 0.021286214860011088)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00043394202279315467)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.00519528235030575)	(20, 0.0)	(25, 1.6468387961789555e-05)	(30, 0.0)	(35, 0.004176053819350595)	(40, 2.9149046692367503e-05)	(45, 0.006199359964336059)	(50, 0.012342018891900688)	(55, 0.0008259644157113209)	(60, 0.0)	(65, 0.0065858163222307095)	(70, 5.626214680099051e-06)	(75, 0.01142240889150288)	(80, 0.011645407621860239)	(85, 0.0)	(90, 0.00018393045971813588)	(95, 0.0)	(100, 0.003225294783961506)	(105, 0.006654921581753924)	(110, 0.00018054867400321898)	(115, 0.0)	(120, 0.0)	(125, 0.005275063822747403)	(130, 0.0009786435439265054)	(135, 0.0)	(140, 0.001357626931313765)	(145, 0.0)	(150, 0.0)																				
SRR22576097	(1, 0.027571995114659326)	(2, 0.00829470487543796)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.05291587877187439)	(30, 8.488043647406667e-06)	(35, 0.0)	(40, 2.7821920844277407e-05)	(45, 0.0)	(50, 0.00019592457897023654)	(55, 0.0)	(60, 9.496440240383013e-06)	(65, 0.0)	(70, 0.0)	(75, 1.053643010700037e-05)	(80, 0.0)	(85, 0.0)	(90, 7.924234193551797e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 6.1136543007275575e-06)	(155, 0.0)	(160, 2.2691921269120788e-05)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 9.466444092375633e-06)	(210, 0.0)	(215, 0.00010727092668768792)	(220, 0.0)	(225, 2.879030201614372e-05)	(230, 0.0)	(235, 8.496260713731658e-05)	(240, 8.64605630058657e-06)	(245, 3.7863035517420465e-06)	(250, 0.0)
SRR22576098	(1, 0.02676773063211957)	(2, 0.005702369884187978)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0521742652530964)	(30, 8.755153761581541e-06)	(35, 0.0)	(40, 3.455981747992714e-05)	(45, 0.0)	(50, 0.00017992265180559694)	(55, 0.0)	(60, 6.96088783395654e-06)	(65, 0.0)	(70, 0.0)	(75, 1.5922742777114884e-05)	(80, 0.0)	(85, 0.0)	(90, 9.646673511801176e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 6.5180734444081235e-06)	(155, 0.0)	(160, 2.388518369835603e-05)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 1.9354948988289997e-05)	(210, 0.0)	(215, 0.0001085169629256455)	(220, 0.0)	(225, 3.169628423227312e-05)	(230, 0.0)	(235, 7.662586400222726e-05)	(240, 6.820551198752797e-06)	(245, 2.5396016755402995e-06)	(250, 0.0)
SRR22576099	(1, 0.057839658586861145)	(2, 0.020715111140266647)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0004192293929664072)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.005145393407696882)	(20, 0.0)	(25, 1.931674665421175e-05)	(30, 0.0)	(35, 0.004093470573592525)	(40, 3.1074766356775424e-05)	(45, 0.0060331238952404396)	(50, 0.01208671859164681)	(55, 0.0008202373403061479)	(60, 0.0)	(65, 0.006338864931098272)	(70, 6.35392483878769e-06)	(75, 0.011026384126190784)	(80, 0.01117481132832633)	(85, 0.0)	(90, 0.00019033855702923775)	(95, 0.0)	(100, 0.0030342528133257556)	(105, 0.006384479381763125)	(110, 0.00018591762402557133)	(115, 0.0)	(120, 0.0)	(125, 0.005040934458420521)	(130, 0.0009242132793011594)	(135, 0.0)	(140, 0.0012761311882567147)	(145, 0.0)	(150, 0.0)																				
SRR22576100	(1, 0.026157857244341606)	(2, 0.005803816952088237)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0530005106477497)	(30, 4.7461119935301e-06)	(35, 0.0)	(40, 3.254476795563497e-05)	(45, 0.0)	(50, 0.00015810259407611566)	(55, 0.0)	(60, 8.175226106827001e-06)	(65, 0.0)	(70, 0.0)	(75, 1.3027394794273608e-05)	(80, 0.0)	(85, 0.0)	(90, 9.597737154630263e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 9.416852703835565e-06)	(155, 0.0)	(160, 1.6133721682770052e-05)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 8.793516294217816e-06)	(210, 0.0)	(215, 9.964108457854769e-05)	(220, 0.0)	(225, 3.159823793536362e-05)	(230, 0.0)	(235, 8.720338003860352e-05)	(240, 5.461859082469939e-06)	(245, 3.742692895046779e-06)	(250, 0.0)
SRR22576101	(1, 0.05744777496684553)	(2, 0.020208184641861443)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00044428568878114577)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.005038690333011204)	(20, 0.0)	(25, 1.9352321413166475e-05)	(30, 0.0)	(35, 0.004030461644175953)	(40, 2.9437333980591256e-05)	(45, 0.005998674502267151)	(50, 0.011958577445450176)	(55, 0.0008040850736990585)	(60, 0.0)	(65, 0.006338595750996033)	(70, 7.431764776893756e-06)	(75, 0.010899077431708318)	(80, 0.01104872012096277)	(85, 0.0)	(90, 0.00018928742626083862)	(95, 0.0)	(100, 0.002990700681595526)	(105, 0.00632419344415875)	(110, 0.0001860030111495636)	(115, 0.0)	(120, 0.0)	(125, 0.005080070153973849)	(130, 0.0009374275443645528)	(135, 0.0)	(140, 0.0012751490402005221)	(145, 0.0)	(150, 0.0)																				
SRR22576102	(1, 0.05818070704678262)	(2, 0.02100451801528642)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0004341156346561581)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.005110128285085142)	(20, 0.0)	(25, 2.1878506786384626e-05)	(30, 0.0)	(35, 0.0041629040912704056)	(40, 3.132080971524536e-05)	(45, 0.006144405905902545)	(50, 0.01230408362933066)	(55, 0.0008172278367049077)	(60, 0.0)	(65, 0.006516889168812365)	(70, 6.492522617351789e-06)	(75, 0.011338537667463846)	(80, 0.011543874961838663)	(85, 0.0)	(90, 0.00017674496745788935)	(95, 0.0)	(100, 0.0031717863545296272)	(105, 0.006618946337101377)	(110, 0.00017220406311872769)	(115, 0.0)	(120, 0.0)	(125, 0.005246717347598798)	(130, 0.0009200425674956706)	(135, 0.0)	(140, 0.001282793169167849)	(145, 0.0)	(150, 0.0)																				
SRR22576103	(1, 0.05859406049101559)	(2, 0.02080726920261278)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00044960486726021323)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.005121943053247337)	(20, 0.0)	(25, 1.9760411449955047e-05)	(30, 0.0)	(35, 0.004164562219851762)	(40, 3.1083793292064126e-05)	(45, 0.006171243103949444)	(50, 0.012264370234230586)	(55, 0.0008259551308864529)	(60, 0.0)	(65, 0.006520764212137074)	(70, 8.048850350844357e-06)	(75, 0.011302608584817101)	(80, 0.011474906209894028)	(85, 0.0)	(90, 0.00018733917877205005)	(95, 0.0)	(100, 0.0031356705056876538)	(105, 0.006532034436063942)	(110, 0.00018417894746497438)	(115, 0.0)	(120, 0.0)	(125, 0.0052201209689147566)	(130, 0.000954883228176914)	(135, 0.0)	(140, 0.0013120642938047945)	(145, 0.0)	(150, 0.0)																				
SRR22576104	(1, 0.05795775616388708)	(2, 0.020673104672996538)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.000398100112642661)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.005128653498214348)	(20, 0.0)	(25, 1.929614663632663e-05)	(30, 0.0)	(35, 0.00405256547608755)	(40, 3.0723961634539485e-05)	(45, 0.006003724381110287)	(50, 0.01210021798261256)	(55, 0.0008197481311748296)	(60, 0.0)	(65, 0.006364237633958283)	(70, 7.562435543471253e-06)	(75, 0.011064319329018569)	(80, 0.011216541610452782)	(85, 0.0)	(90, 0.00018329867608687836)	(95, 0.0)	(100, 0.003032215562337746)	(105, 0.006481646114711554)	(110, 0.00017974475750184922)	(115, 0.0)	(120, 0.0)	(125, 0.005159146674242343)	(130, 0.0009294916894585037)	(135, 0.0)	(140, 0.0012806350267704687)	(145, 0.0)	(150, 0.0)																				
