Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR22576095	(1, 36.69248050647483)	(2, 36.61488722785103)	(3, 36.61938838707507)	(4, 36.63951422424276)	(5, 36.59964198165092)	(6, 36.660755841801176)	(7, 36.629031703553636)	(8, 36.62688944623766)	(9, 36.72057113021702)	(10, 36.645860093946006)	(15, 36.60609263984621)	(20, 36.574981007828214)	(25, 36.55085671867725)	(30, 36.525274142809224)	(35, 36.50695761059021)	(40, 36.48631986587311)	(45, 36.45051722107862)	(50, 36.42826348770042)	(55, 36.41826456738255)	(60, 36.38230921278663)	(65, 36.33956028231809)	(70, 36.30702184703928)	(75, 36.285385240593094)	(80, 36.22854942996702)	(85, 36.222500981837086)	(90, 36.17659590542232)	(95, 36.11022370457467)	(100, 36.07032534291602)	(105, 36.027245635598554)	(110, 35.94163774443457)	(115, 35.86340846962504)	(120, 35.80089971030994)	(125, 35.759311433044694)	(130, 35.72571430978127)	(135, 35.61456768349749)	(140, 35.53969464302831)	(145, 35.45248762889672)	(150, 36.18656886102728)																				
SRR22576096	(1, 36.62249545565127)	(2, 36.68618058106154)	(3, 36.68615486567374)	(4, 36.684272825360694)	(5, 36.66810098366093)	(6, 36.70826090158907)	(7, 36.67829906584304)	(8, 36.67432484858655)	(9, 36.74992502560526)	(10, 36.6837726507752)	(15, 36.64398642033197)	(20, 36.61512744617833)	(25, 36.59349524695563)	(30, 36.567778189258746)	(35, 36.549199667223284)	(40, 36.53094066320422)	(45, 36.49933993630604)	(50, 36.481162320565936)	(55, 36.47573227164651)	(60, 36.44442123961845)	(65, 36.41038734079322)	(70, 36.37706843487558)	(75, 36.361522387630515)	(80, 36.31652042582155)	(85, 36.301600511981654)	(90, 36.25284591969401)	(95, 36.163942378617755)	(100, 36.10395501798841)	(105, 36.03492329254743)	(110, 35.95362838827454)	(115, 35.87594213774021)	(120, 35.81824894329904)	(125, 35.791179555134974)	(130, 35.76197760034441)	(135, 35.68088492023528)	(140, 35.61341299472221)	(145, 35.56270075537208)	(150, 36.239906306731896)																				
SRR22576097	(1, 36.304807769389285)	(2, 36.15947609908376)	(3, 36.20717819704522)	(4, 36.26021932161669)	(5, 36.16889146149965)	(6, 36.369392444698036)	(7, 36.24894776552251)	(8, 36.28903556961846)	(9, 36.401322437200264)	(10, 36.31993135058921)	(15, 36.26742789642701)	(20, 36.251182516516316)	(25, 36.18044745665203)	(30, 36.18152640488911)	(35, 36.162156434644416)	(40, 36.143250095490494)	(45, 36.11616662972796)	(50, 36.0907356685543)	(55, 36.07212142253035)	(60, 36.06467836972307)	(65, 36.04903862889368)	(70, 36.0189314758253)	(75, 35.99483778306772)	(80, 35.99588527417782)	(85, 35.95924882496542)	(90, 35.937384643066366)	(95, 35.91665812406809)	(100, 35.8883609144147)	(105, 35.83519422806559)	(110, 35.83683677069705)	(115, 35.78607102735144)	(120, 35.759922303713)	(125, 35.71942844405852)	(130, 35.68796735778565)	(135, 35.67950014771439)	(140, 35.64988643030678)	(145, 35.616057520174614)	(150, 35.55165026425611)	(155, 35.52416055238185)	(160, 35.42899910072144)	(165, 35.47121291460152)	(170, 35.3552275212345)	(175, 35.28874392110172)	(180, 35.286018284129014)	(185, 35.27580340144356)	(190, 35.13196389454454)	(195, 35.0607123930749)	(200, 35.05375422238213)	(205, 34.9425156871729)	(210, 34.85368259297379)	(215, 34.66095471361975)	(220, 34.655987936203886)	(225, 34.518206740156685)	(230, 34.53450816787503)	(235, 34.43887527135667)	(240, 34.26101884113151)	(245, 34.10507312690555)	(250, 35.62240403428459)
SRR22576098	(1, 36.06065895388308)	(2, 36.235109654960084)	(3, 36.25930500621766)	(4, 36.280917057198366)	(5, 36.21055534239828)	(6, 36.39031970757233)	(7, 36.26016430151948)	(8, 36.294313917005795)	(9, 36.38937078714385)	(10, 36.29827555035529)	(15, 36.250085414588895)	(20, 36.21945127903235)	(25, 36.1470852514896)	(30, 36.141234334293934)	(35, 36.11966772256125)	(40, 36.09386931186588)	(45, 36.06445298594173)	(50, 36.034542254321124)	(55, 36.00699926664636)	(60, 35.99618814298674)	(65, 35.97532898635168)	(70, 35.93848891721462)	(75, 35.9065026297471)	(80, 35.90394677237957)	(85, 35.86001355910035)	(90, 35.8352184554481)	(95, 35.80731443342995)	(100, 35.776364398332355)	(105, 35.71200090057569)	(110, 35.71518229729663)	(115, 35.65271665010735)	(120, 35.624936422223335)	(125, 35.57527439595935)	(130, 35.54071109848669)	(135, 35.528582988934275)	(140, 35.49681844447408)	(145, 35.45819458505144)	(150, 35.38552287658025)	(155, 35.3526599391044)	(160, 35.2491663472704)	(165, 35.295640413451075)	(170, 35.17127402187358)	(175, 35.09735324206041)	(180, 35.09757600618297)	(185, 35.086298267207155)	(190, 34.93557842593712)	(195, 34.856270387947106)	(200, 34.85535492105712)	(205, 34.737877150233054)	(210, 34.64532199149275)	(215, 34.443078227230345)	(220, 34.44604019392163)	(225, 34.303731797102884)	(230, 34.32485567139643)	(235, 34.23110316108007)	(240, 34.04949037579182)	(245, 33.895075099086164)	(250, 35.55058811963377)
SRR22576099	(1, 36.37777839118558)	(2, 36.46192829857402)	(3, 36.46186669494937)	(4, 36.47383964845257)	(5, 36.451037684782094)	(6, 36.52346852090824)	(7, 36.47334865314649)	(8, 36.47415013016093)	(9, 36.57633542601121)	(10, 36.48050633924184)	(15, 36.427071183044276)	(20, 36.38716254509699)	(25, 36.359334263164065)	(30, 36.32822355366086)	(35, 36.305227409094535)	(40, 36.27690504677511)	(45, 36.2349868792748)	(50, 36.20256629295726)	(55, 36.191352466376735)	(60, 36.14785577925524)	(65, 36.107710480645)	(70, 36.07267510758233)	(75, 36.05398710712023)	(80, 35.993745972716134)	(85, 35.98748239597734)	(90, 35.9497657962951)	(95, 35.889486410042984)	(100, 35.874760191947544)	(105, 35.84432528630424)	(110, 35.77803048782304)	(115, 35.70013935711562)	(120, 35.65650758476271)	(125, 35.60958876784882)	(130, 35.59397377333541)	(135, 35.47598369526204)	(140, 35.41475450780474)	(145, 35.32310498892488)	(150, 36.144593195813634)																				
SRR22576100	(1, 36.24077565165897)	(2, 36.38411826850037)	(3, 36.386655811178514)	(4, 36.41296913749144)	(5, 36.330963305808034)	(6, 36.491099226319335)	(7, 36.38863683832461)	(8, 36.418777158142724)	(9, 36.52150166712269)	(10, 36.43177027706005)	(15, 36.381384223225375)	(20, 36.355686454077684)	(25, 36.28766961121105)	(30, 36.283985523137986)	(35, 36.263507534740945)	(40, 36.241165117609164)	(45, 36.21264228631877)	(50, 36.18423984027559)	(55, 36.158452610514544)	(60, 36.14557226409837)	(65, 36.123539122644395)	(70, 36.08670261734282)	(75, 36.055467252001876)	(80, 36.05265174219146)	(85, 36.009186479693405)	(90, 35.98399805872112)	(95, 35.958994403770426)	(100, 35.92807865427652)	(105, 35.86788664631056)	(110, 35.86695172034426)	(115, 35.80917386529351)	(120, 35.780768832367755)	(125, 35.73283350877936)	(130, 35.69767952449729)	(135, 35.68528802658471)	(140, 35.65184903677632)	(145, 35.61290216072045)	(150, 35.54418008478626)	(155, 35.51013130008056)	(160, 35.41059757387907)	(165, 35.448908921693686)	(170, 35.32890987019088)	(175, 35.25465783315567)	(180, 35.2502526346899)	(185, 35.23534287381501)	(190, 35.086489861671794)	(195, 35.00538663297847)	(200, 34.9989493132244)	(205, 34.87757186984229)	(210, 34.78631831199549)	(215, 34.58202223813706)	(220, 34.57703429765653)	(225, 34.42838397585827)	(230, 34.44213143817141)	(235, 34.337221351037314)	(240, 34.156223633917435)	(245, 33.996202988679954)	(250, 35.594440659283336)
SRR22576101	(1, 36.161020540581205)	(2, 36.400709248951394)	(3, 36.40450851849666)	(4, 36.403690160612)	(5, 36.36993605965748)	(6, 36.4670825871219)	(7, 36.41796418757524)	(8, 36.422338384607215)	(9, 36.532950093770175)	(10, 36.428032873325016)	(15, 36.37416520695196)	(20, 36.333229486777796)	(25, 36.30779077033278)	(30, 36.275312900461884)	(35, 36.25357190566261)	(40, 36.226190439653394)	(45, 36.184949634220686)	(50, 36.15368159094858)	(55, 36.14565008590374)	(60, 36.10461167343168)	(65, 36.06716634355534)	(70, 36.035224073338256)	(75, 36.02031947213665)	(80, 35.96266336476309)	(85, 35.962066110046166)	(90, 35.928786733453485)	(95, 35.8736061311257)	(100, 35.862486682804885)	(105, 35.835611481085294)	(110, 35.77502722859256)	(115, 35.702410046255224)	(120, 35.66357580686128)	(125, 35.62393636083408)	(130, 35.616425818888885)	(135, 35.50607141937833)	(140, 35.454501703921714)	(145, 35.37108538621991)	(150, 36.16898657440675)																				
SRR22576102	(1, 36.59724598423175)	(2, 36.473614054457975)	(3, 36.48997216489702)	(4, 36.521946911665104)	(5, 36.48092005937919)	(6, 36.589417520568475)	(7, 36.55178332226991)	(8, 36.55586228198514)	(9, 36.661005549299006)	(10, 36.56958538421784)	(15, 36.52473936681828)	(20, 36.490819125651726)	(25, 36.46666381478411)	(30, 36.439451247438186)	(35, 36.42266882984453)	(40, 36.39972121024852)	(45, 36.36368687660721)	(50, 36.33762899922023)	(55, 36.32945946253956)	(60, 36.29338798721342)	(65, 36.259669812606305)	(70, 36.231811921448916)	(75, 36.21556327025759)	(80, 36.165279433108026)	(85, 36.16135293228069)	(90, 36.127897545701224)	(95, 36.0704991636201)	(100, 36.053013516015504)	(105, 36.01999572332761)	(110, 35.956412336739405)	(115, 35.887605901843656)	(120, 35.844724408491665)	(125, 35.80616699489419)	(130, 35.78795209283841)	(135, 35.68525736244014)	(140, 35.62431901818545)	(145, 35.545438434016795)	(150, 36.23517718224759)																				
SRR22576103	(1, 36.453399432427695)	(2, 36.5485864223149)	(3, 36.54808045586958)	(4, 36.55386239666526)	(5, 36.52181709283583)	(6, 36.59210664147873)	(7, 36.55307970675017)	(8, 36.55254464365406)	(9, 36.645823577092735)	(10, 36.560927836131924)	(15, 36.513370713667015)	(20, 36.478079282678415)	(25, 36.45465956052667)	(30, 36.4269245286387)	(35, 36.40719431065338)	(40, 36.3848552121349)	(45, 36.3454678919069)	(50, 36.32026885652323)	(55, 36.30964040547825)	(60, 36.273025150669035)	(65, 36.234744525270386)	(70, 36.205300785480276)	(75, 36.187795704069956)	(80, 36.13386063452024)	(85, 36.13042393268874)	(90, 36.094458841916186)	(95, 36.04233104147345)	(100, 36.02549737937013)	(105, 35.99905238025133)	(110, 35.9360895139576)	(115, 35.86766429648945)	(120, 35.82492465070031)	(125, 35.78339262802022)	(130, 35.767858029315825)	(135, 35.65841385014495)	(140, 35.60159992723078)	(145, 35.51372856946029)	(150, 36.22246243139904)																				
SRR22576104	(1, 36.30773837490064)	(2, 36.464299215566676)	(3, 36.46080378417294)	(4, 36.471271475370074)	(5, 36.46472779609736)	(6, 36.53261052528364)	(7, 36.48248169353025)	(8, 36.48997592346721)	(9, 36.57519092928238)	(10, 36.487223270073756)	(15, 36.44070976248073)	(20, 36.403434376887056)	(25, 36.378435718718606)	(30, 36.34924604241184)	(35, 36.32832396124486)	(40, 36.30409618413455)	(45, 36.26441373538684)	(50, 36.23703318835261)	(55, 36.228679897932274)	(60, 36.19178218745888)	(65, 36.15557887174185)	(70, 36.125448162710526)	(75, 36.10992856251839)	(80, 36.05674366926753)	(85, 36.05580888319998)	(90, 36.022249294428605)	(95, 35.96750824308272)	(100, 35.95120206424146)	(105, 35.923001010261636)	(110, 35.86035385818563)	(115, 35.790668904031655)	(120, 35.748740631707406)	(125, 35.70921661775522)	(130, 35.694371353746476)	(135, 35.586728402564)	(140, 35.530084115326936)	(145, 35.446263601928784)	(150, 36.19046820500209)																				
