Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
SRR22576095	(24.0, 2.0)	(25.0, 45.0)	(26.0, 416.0)	(27.0, 2660.0)	(28.0, 11502.0)	(29.0, 39457.0)	(30.0, 117832.0)	(31.0, 304347.0)	(32.0, 687627.0)	(33.0, 1483581.0)	(34.0, 3451490.0)	(35.0, 12354962.0)	(36.0, 52027653.0)	(37.0, 3602897.0)	
SRR22576096	(24.0, 1.0)	(25.0, 47.0)	(26.0, 621.0)	(27.0, 3907.0)	(28.0, 17740.0)	(29.0, 62357.0)	(30.0, 180969.0)	(31.0, 462299.0)	(32.0, 1026206.0)	(33.0, 2177373.0)	(34.0, 5028476.0)	(35.0, 18625218.0)	(36.0, 85564738.0)	(37.0, 8294843.0)	
SRR22576097	(24.0, 3.0)	(25.0, 49.0)	(26.0, 738.0)	(27.0, 5540.0)	(28.0, 27400.0)	(29.0, 101246.0)	(30.0, 293903.0)	(31.0, 719664.0)	(32.0, 1473205.0)	(33.0, 2737468.0)	(34.0, 5072803.0)	(35.0, 12097702.0)	(36.0, 19781593.0)	(37.0, 101286.0)	
SRR22576098	(24.0, 4.0)	(25.0, 45.0)	(26.0, 584.0)	(27.0, 4625.0)	(28.0, 23413.0)	(29.0, 91823.0)	(30.0, 283007.0)	(31.0, 744931.0)	(32.0, 1651044.0)	(33.0, 3276232.0)	(34.0, 6223862.0)	(35.0, 13514814.0)	(36.0, 17511445.0)	(37.0, 77178.0)	
SRR22576099	(24.0, 2.0)	(25.0, 79.0)	(26.0, 1153.0)	(27.0, 8607.0)	(28.0, 41541.0)	(29.0, 154124.0)	(30.0, 442953.0)	(31.0, 1100985.0)	(32.0, 2399306.0)	(33.0, 4973774.0)	(34.0, 10570072.0)	(35.0, 27965088.0)	(36.0, 89994836.0)	(37.0, 5228683.0)	
SRR22576100	(24.0, 3.0)	(25.0, 13.0)	(26.0, 184.0)	(27.0, 1573.0)	(28.0, 8039.0)	(29.0, 34087.0)	(30.0, 115235.0)	(31.0, 333391.0)	(32.0, 811421.0)	(33.0, 1764131.0)	(34.0, 3701955.0)	(35.0, 9271179.0)	(36.0, 13400934.0)	(37.0, 55684.0)	
SRR22576101	(23.0, 1.0)	(24.0, 2.0)	(25.0, 44.0)	(26.0, 651.0)	(27.0, 5204.0)	(28.0, 25012.0)	(29.0, 92284.0)	(30.0, 263269.0)	(31.0, 647976.0)	(32.0, 1379502.0)	(33.0, 2772762.0)	(34.0, 5660078.0)	(35.0, 14282046.0)	(36.0, 45379491.0)	(37.0, 2867888.0)
SRR22576102	(24.0, 5.0)	(25.0, 46.0)	(26.0, 696.0)	(27.0, 4597.0)	(28.0, 20945.0)	(29.0, 73674.0)	(30.0, 209105.0)	(31.0, 514194.0)	(32.0, 1094698.0)	(33.0, 2234062.0)	(34.0, 4771593.0)	(35.0, 13931886.0)	(36.0, 59227447.0)	(37.0, 4760273.0)	
SRR22576103	(24.0, 1.0)	(25.0, 52.0)	(26.0, 625.0)	(27.0, 4886.0)	(28.0, 21823.0)	(29.0, 78912.0)	(30.0, 221752.0)	(31.0, 543672.0)	(32.0, 1158254.0)	(33.0, 2373406.0)	(34.0, 5145613.0)	(35.0, 15085596.0)	(36.0, 61055616.0)	(37.0, 4388888.0)	
SRR22576104	(24.0, 3.0)	(25.0, 108.0)	(26.0, 1369.0)	(27.0, 9411.0)	(28.0, 41735.0)	(29.0, 144386.0)	(30.0, 391964.0)	(31.0, 914645.0)	(32.0, 1838898.0)	(33.0, 3501931.0)	(34.0, 6948294.0)	(35.0, 18478570.0)	(36.0, 69205670.0)	(37.0, 5280082.0)	
SRR22576105	(24.0, 5.0)	(25.0, 144.0)	(26.0, 1842.0)	(27.0, 12359.0)	(28.0, 56468.0)	(29.0, 199371.0)	(30.0, 552433.0)	(31.0, 1315242.0)	(32.0, 2698570.0)	(33.0, 5267512.0)	(34.0, 11326006.0)	(35.0, 40504887.0)	(36.0, 202818733.0)	(37.0, 19166559.0)	
SRR22576106	(24.0, 1.0)	(25.0, 54.0)	(26.0, 627.0)	(27.0, 4894.0)	(28.0, 24598.0)	(29.0, 94178.0)	(30.0, 279749.0)	(31.0, 703083.0)	(32.0, 1464782.0)	(33.0, 2755149.0)	(34.0, 5121658.0)	(35.0, 12132319.0)	(36.0, 19208391.0)	(37.0, 97913.0)	
SRR22576107	(25.0, 32.0)	(26.0, 415.0)	(27.0, 3498.0)	(28.0, 16653.0)	(29.0, 64288.0)	(30.0, 202058.0)	(31.0, 554079.0)	(32.0, 1288253.0)	(33.0, 2660498.0)	(34.0, 5192781.0)	(35.0, 11533148.0)	(36.0, 14302242.0)	(37.0, 58965.0)		
SRR22576108	(24.0, 2.0)	(25.0, 48.0)	(26.0, 612.0)	(27.0, 4633.0)	(28.0, 22382.0)	(29.0, 84012.0)	(30.0, 248371.0)	(31.0, 621417.0)	(32.0, 1277908.0)	(33.0, 2372366.0)	(34.0, 4377389.0)	(35.0, 10785626.0)	(36.0, 18960092.0)	(37.0, 115312.0)	
SRR22576109	(24.0, 2.0)	(25.0, 56.0)	(26.0, 639.0)	(27.0, 5021.0)	(28.0, 24291.0)	(29.0, 91754.0)	(30.0, 276685.0)	(31.0, 717359.0)	(32.0, 1567385.0)	(33.0, 3059509.0)	(34.0, 5646707.0)	(35.0, 11765727.0)	(36.0, 14752023.0)	(37.0, 55540.0)	
SRR22576110	(23.0, 1.0)	(24.0, 28.0)	(25.0, 889.0)	(26.0, 10511.0)	(27.0, 73798.0)	(28.0, 325960.0)	(29.0, 1116904.0)	(30.0, 2995358.0)	(31.0, 7031964.0)	(32.0, 14731102.0)	(33.0, 30012886.0)	(34.0, 64263702.0)	(35.0, 165519291.0)	(36.0, 385155808.0)	(37.0, 17032600.0)
SRR22576112	(24.0, 13.0)	(25.0, 375.0)	(26.0, 4389.0)	(27.0, 32427.0)	(28.0, 155024.0)	(29.0, 564735.0)	(30.0, 1614649.0)	(31.0, 4069674.0)	(32.0, 9213676.0)	(33.0, 20640263.0)	(34.0, 50323332.0)	(35.0, 159651140.0)	(36.0, 541705558.0)	(37.0, 28826723.0)	
