Sample	Unique Reads	Duplicate Reads
SRR22576095	48429450	25655021
SRR22576096	87346394	34098401
SRR22576097	36453042	5959558
SRR22576098	37641830	5761177
SRR22576099	115056098	27825105
SRR22576100	25877970	3619859
SRR22576101	60317725	13058485
SRR22576102	73328842	13514379
SRR22576103	74354788	15724308
SRR22576104	70219104	36537962
SRR22576105	118366581	165553550
SRR22576106	33696246	8191150
SRR22576107	30570842	5306068
SRR22576108	31924392	6945778
SRR22576109	31453148	6509550
SRR22576110	477235681	211035121
SRR22576112	468852295	347949683
SRR22576113	35255504	4841246
SRR22576114	64019407	11801731
SRR22576115	94381106	54329024
SRR22576116	63648735	12703548
SRR22576117	90089031	25895348
SRR22576118	32296781	4122129
SRR22576119	49451304	31506657
SRR22576120	103732060	61763356
SRR22576121	60395082	20861080
SRR22576122	80262398	41148094
SRR22576123	73250724	29530398
SRR22576124	61601250	19920229
SRR22576125	102503615	41850016
SRR22576126	77992682	27783706
SRR22576127	62147232	36414433
SRR22576128	29221555	14018453
SRR22576129	60619705	23697648
SRR22576130	55875985	19266963
SRR22576131	23726850	9256472
SRR22576132	31106482	7598944
