Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR22576095	(1.0, 49.176247613280815)	(2.0, 19.672813344652724)	(3.0, 9.201678796740206)	(4.0, 5.1823677641840735)	(5.0, 3.390153177489377)	(6.0, 2.291811694738801)	(7.0, 1.7486843900331375)	(8.0, 1.352081304740789)	(9.0, 1.056191852315312)	('>10', 5.905808099222977)	('>50', 0.5996612351457097)	('>100', 0.3528381343914894)	('>500', 0.004599522778586433)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0650630702859823)
SRR22576096	(1.0, 57.31189294534169)	(2.0, 19.138016724321226)	(3.0, 7.773064200070266)	(4.0, 4.188265700769336)	(5.0, 2.5484673884142324)	(6.0, 1.7953375800408269)	(7.0, 1.2794037450123004)	(8.0, 0.9169941318052823)	(9.0, 0.6863108719616158)	('>10', 3.2425892972072314)	('>50', 0.3692652083314956)	('>100', 0.3936448609225614)	('>500', 0.07101454192332712)	('>1k', 0.19168442753213386)	('>5k', 0.022037732300643337)	('>10k+', 0.0720106440457396)
SRR22576097	(1.0, 75.56416860365303)	(2.0, 16.616549143575327)	(3.0, 4.1260014068196815)	(4.0, 1.5897651613073025)	(5.0, 0.7331493459108748)	(6.0, 0.37107491202989423)	(7.0, 0.23159461230262582)	(8.0, 0.16333557009993674)	(9.0, 0.11004166466358938)	('>10', 0.41128121335222206)	('>50', 0.032786187316424936)	('>100', 0.022147412914709824)	('>500', 0.0019601548151712577)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.02614461123918962)
SRR22576098	(1.0, 77.14956212202524)	(2.0, 15.774134658352967)	(3.0, 3.4498808316181684)	(4.0, 1.0889314638582224)	(5.0, 0.4889396966091316)	(6.0, 0.2844907507204521)	(7.0, 0.1701075387245899)	(8.0, 0.1471446968620475)	(9.0, 0.10797673752074952)	('>10', 1.1273940847567834)	('>50', 0.1306222420460418)	('>100', 0.05536860954656815)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.02544656735906958)	('>10k+', 0.0)
SRR22576099	(1.0, 66.54173019443192)	(2.0, 21.68040578354284)	(3.0, 6.4802570816622245)	(4.0, 2.2129502862962296)	(5.0, 1.0308442273790908)	(6.0, 0.504609725462574)	(7.0, 0.3285248028056961)	(8.0, 0.19538811740344958)	(9.0, 0.15937854466558493)	('>10', 0.7442614657893899)	('>50', 0.056427823033370295)	('>100', 0.018542366651572766)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.04667958087607578)
SRR22576100	(1.0, 78.5122396307282)	(2.0, 14.962714977630457)	(3.0, 3.5365870363907828)	(4.0, 1.2466939393271232)	(5.0, 0.5736824885064761)	(6.0, 0.3035088782301863)	(7.0, 0.1697156325945794)	(8.0, 0.13258396967619784)	(9.0, 0.09936935027284256)	('>10', 0.40760325738799075)	('>50', 0.022679252866994216)	('>100', 0.007549151116552586)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.025072435271637827)	('>10k+', 0.0)
SRR22576101	(1.0, 69.16456908081744)	(2.0, 20.68550833718352)	(3.0, 5.602323239482806)	(4.0, 1.8294778493093744)	(5.0, 0.8107145332760345)	(6.0, 0.43625401631429445)	(7.0, 0.3101268164375284)	(8.0, 0.1958601257417692)	(9.0, 0.16183326104244086)	('>10', 0.7161679918026939)	('>50', 0.03256666951833366)	('>100', 0.007753752224696837)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.046844326849052924)
SRR22576102	(1.0, 72.17197853952212)	(2.0, 20.27486408400118)	(3.0, 4.809584011977785)	(4.0, 1.2915231236591884)	(5.0, 0.47386282553563824)	(6.0, 0.254626839044195)	(7.0, 0.15347611463676392)	(8.0, 0.11944697897306622)	(9.0, 0.06729484466274663)	('>10', 0.31006946037217814)	('>50', 0.02086336558867542)	('>100', 0.006471518379935721)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.04593829364648767)
SRR22576103	(1.0, 69.63006587729289)	(2.0, 20.64539452715929)	(3.0, 5.398661236532092)	(4.0, 1.7199118155633357)	(5.0, 0.795375762175462)	(6.0, 0.4630870106179786)	(7.0, 0.26378195982829766)	(8.0, 0.20573674566829303)	(9.0, 0.15565329196879435)	('>10', 0.6346609623197285)	('>50', 0.031270360934717856)	('>100', 0.0189568543740056)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.03744359556513119)
SRR22576104	(1.0, 48.99627962442865)	(2.0, 20.88467086574617)	(3.0, 9.30385138645222)	(4.0, 5.099227005611951)	(5.0, 3.4196157474395217)	(6.0, 2.3616707734563556)	(7.0, 1.6650554670472395)	(8.0, 1.3533834740543589)	(9.0, 1.0002880597815087)	('>10', 5.248440615221005)	('>50', 0.3095867061302769)	('>100', 0.2934104823010365)	('>500', 0.01483212692167364)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.04968766540793016)
