Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
SRR22576095	(50, 82160.0)	(55, 81930.0)	(60, 85171.0)	(65, 91191.0)	(70, 90483.0)	(75, 96328.0)	(80, 97819.0)	(85, 103751.0)	(90, 114276.0)	(95, 129976.0)	(100, 272786.0)	(105, 409845.0)	(110, 484784.0)	(115, 602050.0)	(120, 646471.0)	(125, 663391.0)	(130, 677970.0)	(135, 723074.0)	(140, 757135.0)	(145, 2805921.0)	(150, 65067959.0)																				
SRR22576096	(50, 129155.0)	(55, 128031.0)	(60, 131976.0)	(65, 139033.0)	(70, 138072.0)	(75, 143700.0)	(80, 146769.0)	(85, 155923.0)	(90, 179852.0)	(95, 239414.0)	(100, 958226.0)	(105, 1433426.0)	(110, 1625345.0)	(115, 2016366.0)	(120, 1997625.0)	(125, 2001009.0)	(130, 1943610.0)	(135, 2010860.0)	(140, 2013830.0)	(145, 4844623.0)	(150, 99067950.0)																				
SRR22576097	(50, 122724.0)	(55, 119993.0)	(60, 120160.0)	(65, 121631.0)	(70, 120754.0)	(75, 120082.0)	(80, 119935.0)	(85, 123055.0)	(90, 129686.0)	(95, 129487.0)	(100, 141182.0)	(105, 154947.0)	(110, 162586.0)	(115, 177473.0)	(120, 179807.0)	(125, 186341.0)	(130, 195711.0)	(135, 206593.0)	(140, 209908.0)	(145, 220110.0)	(150, 233022.0)	(155, 235486.0)	(160, 258259.0)	(165, 253013.0)	(170, 282216.0)	(175, 297895.0)	(180, 310041.0)	(185, 311461.0)	(190, 359999.0)	(195, 345582.0)	(200, 386401.0)	(205, 400958.0)	(210, 437608.0)	(215, 477633.0)	(220, 508742.0)	(225, 530610.0)	(230, 541803.0)	(235, 557238.0)	(240, 626112.0)	(245, 2697481.0)	(250, 29298875.0)
SRR22576098	(50, 127425.0)	(55, 125799.0)	(60, 127791.0)	(65, 130941.0)	(70, 132913.0)	(75, 131819.0)	(80, 134580.0)	(85, 138266.0)	(90, 146677.0)	(95, 145267.0)	(100, 159837.0)	(105, 175902.0)	(110, 182372.0)	(115, 201223.0)	(120, 202645.0)	(125, 210796.0)	(130, 218786.0)	(135, 232850.0)	(140, 234350.0)	(145, 248908.0)	(150, 260064.0)	(155, 265700.0)	(160, 288398.0)	(165, 283993.0)	(170, 312619.0)	(175, 339639.0)	(180, 338446.0)	(185, 350562.0)	(190, 396229.0)	(195, 390905.0)	(200, 421385.0)	(205, 448863.0)	(210, 483608.0)	(215, 541981.0)	(220, 563190.0)	(225, 585766.0)	(230, 590339.0)	(235, 614594.0)	(240, 685511.0)	(245, 2944238.0)	(250, 28887830.0)
SRR22576099	(50, 276248.0)	(55, 271906.0)	(60, 280445.0)	(65, 293102.0)	(70, 294161.0)	(75, 307927.0)	(80, 311487.0)	(85, 327715.0)	(90, 341955.0)	(95, 360483.0)	(100, 402484.0)	(105, 457646.0)	(110, 468461.0)	(115, 536464.0)	(120, 561960.0)	(125, 596936.0)	(130, 618644.0)	(135, 685261.0)	(140, 755853.0)	(145, 5292136.0)	(150, 129439929.0)																				
SRR22576100	(50, 58506.0)	(55, 57868.0)	(60, 60040.0)	(65, 62895.0)	(70, 63762.0)	(75, 64849.0)	(80, 66256.0)	(85, 68568.0)	(90, 74217.0)	(95, 73239.0)	(100, 82663.0)	(105, 92341.0)	(110, 98048.0)	(115, 110412.0)	(120, 112175.0)	(125, 120040.0)	(130, 126515.0)	(135, 138266.0)	(140, 139681.0)	(145, 152363.0)	(150, 161142.0)	(155, 169252.0)	(160, 185426.0)	(165, 187916.0)	(170, 211023.0)	(175, 229133.0)	(180, 241418.0)	(185, 247352.0)	(190, 287128.0)	(195, 284003.0)	(200, 319911.0)	(205, 335482.0)	(210, 371220.0)	(215, 404987.0)	(220, 439336.0)	(225, 455763.0)	(230, 471337.0)	(235, 492274.0)	(240, 548855.0)	(245, 2021964.0)	(250, 19610203.0)
SRR22576101	(50, 161490.0)	(55, 157152.0)	(60, 162190.0)	(65, 168548.0)	(70, 168274.0)	(75, 172902.0)	(80, 174604.0)	(85, 181997.0)	(90, 186615.0)	(95, 194390.0)	(100, 222321.0)	(105, 249914.0)	(110, 257629.0)	(115, 293301.0)	(120, 305219.0)	(125, 319113.0)	(130, 324783.0)	(135, 355602.0)	(140, 381693.0)	(145, 2619169.0)	(150, 66319304.0)																				
SRR22576102	(50, 132136.0)	(55, 129652.0)	(60, 133720.0)	(65, 140149.0)	(70, 139446.0)	(75, 143807.0)	(80, 146777.0)	(85, 153025.0)	(90, 160797.0)	(95, 173166.0)	(100, 249438.0)	(105, 332745.0)	(110, 351786.0)	(115, 426040.0)	(120, 435636.0)	(125, 453574.0)	(130, 458171.0)	(135, 492210.0)	(140, 525124.0)	(145, 2835972.0)	(150, 78829850.0)																				
SRR22576103	(50, 140004.0)	(55, 137536.0)	(60, 141714.0)	(65, 148051.0)	(70, 148032.0)	(75, 153972.0)	(80, 155683.0)	(85, 162990.0)	(90, 170747.0)	(95, 178716.0)	(100, 216156.0)	(105, 261286.0)	(110, 268112.0)	(115, 312464.0)	(120, 326490.0)	(125, 344670.0)	(130, 354750.0)	(135, 391835.0)	(140, 427627.0)	(145, 2905276.0)	(150, 82732985.0)																				
SRR22576104	(50, 222578.0)	(55, 216091.0)	(60, 219205.0)	(65, 225372.0)	(70, 223720.0)	(75, 229563.0)	(80, 229999.0)	(85, 236782.0)	(90, 243665.0)	(95, 253724.0)	(100, 310249.0)	(105, 386117.0)	(110, 418923.0)	(115, 484927.0)	(120, 507982.0)	(125, 525484.0)	(130, 537367.0)	(135, 583583.0)	(140, 621946.0)	(145, 3672596.0)	(150, 96407193.0)																				
SRR22576105	(50, 339659.0)	(55, 331616.0)	(60, 344482.0)	(65, 369295.0)	(70, 363796.0)	(75, 383614.0)	(80, 378514.0)	(85, 400371.0)	(90, 427557.0)	(95, 487991.0)	(100, 1286607.0)	(105, 2333455.0)	(110, 2887626.0)	(115, 3605068.0)	(120, 3799306.0)	(125, 3785029.0)	(130, 3801361.0)	(135, 3974227.0)	(140, 4075082.0)	(145, 10620652.0)	(150, 239924823.0)																				
SRR22576106	(50, 116392.0)	(55, 114203.0)	(60, 115497.0)	(65, 116729.0)	(70, 117408.0)	(75, 117525.0)	(80, 118120.0)	(85, 120217.0)	(90, 128194.0)	(95, 128212.0)	(100, 140201.0)	(105, 152506.0)	(110, 158351.0)	(115, 173583.0)	(120, 175801.0)	(125, 184666.0)	(130, 191689.0)	(135, 204988.0)	(140, 205937.0)	(145, 220272.0)	(150, 230950.0)	(155, 238187.0)	(160, 256302.0)	(165, 258896.0)	(170, 282380.0)	(175, 310971.0)	(180, 310114.0)	(185, 325982.0)	(190, 364490.0)	(195, 367764.0)	(200, 396162.0)	(205, 426088.0)	(210, 458734.0)	(215, 512973.0)	(220, 536033.0)	(225, 563003.0)	(230, 571847.0)	(235, 599581.0)	(240, 667857.0)	(245, 2740374.0)	(250, 28468217.0)
SRR22576107	(50, 98441.0)	(55, 97316.0)	(60, 99805.0)	(65, 103282.0)	(70, 104148.0)	(75, 104155.0)	(80, 106783.0)	(85, 109402.0)	(90, 117351.0)	(95, 116362.0)	(100, 128871.0)	(105, 141350.0)	(110, 146793.0)	(115, 161994.0)	(120, 162817.0)	(125, 170463.0)	(130, 177097.0)	(135, 188077.0)	(140, 188485.0)	(145, 201408.0)	(150, 209693.0)	(155, 214919.0)	(160, 232900.0)	(165, 230235.0)	(170, 252590.0)	(175, 274478.0)	(180, 274177.0)	(185, 283173.0)	(190, 321083.0)	(195, 314528.0)	(200, 342644.0)	(205, 362228.0)	(210, 392259.0)	(215, 437368.0)	(220, 456382.0)	(225, 473637.0)	(230, 478714.0)	(235, 497482.0)	(240, 558400.0)	(245, 2400712.0)	(250, 24144908.0)
