Sample	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
SRR22576095	34.62941831281668	41.0	294.5272497592647	150	20.0	74.084471
SRR22576096	28.077284878878217	47.0	291.1206766415967	150	20.0	121.444795
SRR22576097	14.05138575587786	47.0	463.0048272801007	250	20.0	42.4126
SRR22576098	13.273682264224874	44.0	459.792135807549	250	20.0	43.403006999999995
SRR22576099	19.474293892896526	45.0	295.03683736831357	150	10.0	142.881203
SRR22576100	12.271614244090358	48.0	464.18938503914984	250	20.0	29.497829
SRR22576101	17.796620458187846	48.0	294.6155537878013	150	10.0	73.37621
SRR22576102	15.561812476256648	46.0	295.39617015126606	150	10.0	86.843221
SRR22576103	17.456112155368658	47.0	295.9203544238499	150	10.0	90.07909599999999
SRR22576104	34.22533436712649	48.0	294.7267693971657	150	10.0	106.757066
SRR22576105	58.30990210873369	49.0	292.702934007522	150	30.0	283.92013099999997
SRR22576106	19.555168346743088	47.0	462.4923766208814	250	20.0	41.887395999999995
SRR22576107	14.789646334749506	47.0	460.9832616019607	250	20.0	35.876909999999995
SRR22576108	17.86917479325288	48.0	463.3599744868623	250	20.0	38.87017
SRR22576109	17.147227308655914	48.0	460.90758445303334	250	20.0	37.962697999999996
SRR22576110	30.66164089348075	44.0	293.7503834479092	150	10.0	688.270802
SRR22576112	42.59902553510735	48.0	296.5778834175399	150	10.0	816.801978
SRR22576113	12.073911694935063	46.0	461.78876210665453	250	20.0	40.09675
SRR22576114	15.565226496624291	45.0	294.89818283919715	150	10.0	75.82113799999999
SRR22576115	36.53350609102599	48.0	294.24153239258146	150	20.0	148.71013
SRR22576116	16.638072504071218	45.0	294.9786689351516	150	10.0	76.352283
SRR22576117	22.326582806202225	48.0	294.3678848856017	150	10.0	115.98437899999999
SRR22576118	11.31865060582517	45.0	455.0685061277232	250	20.0	36.41891
SRR22576119	38.91730605446707	42.0	295.498664831739	150	20.0	80.957961
SRR22576120	37.32028209590948	49.0	293.5557548222363	150	20.0	165.495416
SRR22576121	25.673228743895052	45.0	294.37538543230727	150	20.0	81.256162
SRR22576122	33.89171213226565	45.0	295.70554473990603	150	10.0	121.41049199999999
SRR22576123	28.73134428937935	43.0	295.7452920731883	150	20.0	102.781122
SRR22576124	24.435560065151037	46.0	296.5647235251951	150	10.0	81.521479
SRR22576125	28.991315195632012	46.0	295.0428298232415	150	10.0	144.353631
SRR22576126	26.26645375488664	46.0	296.51536203429447	150	10.0	105.776388
SRR22576127	36.94583887509609	41.0	294.9667878530664	150	20.0	98.56166499999999
SRR22576128	32.42009871072892	43.0	295.54160867639064	150	10.0	43.240007999999996
SRR22576129	28.105304069179454	45.0	294.18573387259914	150	10.0	84.317353
SRR22576130	25.64041537797081	47.0	296.3372978193509	150	10.0	75.14294799999999
SRR22576131	28.064098714773962	48.0	458.557476017728	250	20.0	32.983322
SRR22576132	19.63276341871189	48.0	459.2854353288864	250	20.0	38.705425999999996
