Module	Section	Sample Name	Source
FastQC	all_sections	SRR22576095	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576095.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576096	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576096.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576097	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576097.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576098	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576098.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576099	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576099.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576100	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576100.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576101	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576101.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576102	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576102.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576103	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576103.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576104	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576104.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576105	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576105.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576106	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576106.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576107	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576107.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576108	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576108.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576109	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576109.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576110	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576110.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576112	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576112.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576113	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576113.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576114	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576114.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576115	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576115.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576116	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576116.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576117	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576117.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576118	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576118.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576119	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576119.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576120	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576120.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576121	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576121.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576122	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576122.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576123	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576123.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576124	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576124.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576125	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576125.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576126	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576126.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576127	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576127.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576128	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576128.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576129	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576129.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576130	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576130.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576131	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576131.sra_2_paired_fastqc.zip
FastQC	all_sections	SRR22576132	/home/users/nv1085/animal_gut/trimmed_qc_reports/SRR22576132.sra_2_paired_fastqc.zip
